MASCARA,NR_ANO,NO_DISTRITO,CODMUNIC,NO_MUNICIPIO,EH_CAPITAL,SG_UF,NO_UF,NO_REGIAO,IN_FUNCIONAMENTO,IN_DEP_ADM,IN_NATUREZA,QT_SERV_SEM_ESCOLARIDADE,QT_SERV_COM_1GRAU,QT_SERV_COM_2GRAU,QT_SERV_COM_SUPERIOR,QT_SERV_COM_ESPECIALIZACAO,QT_SERV_COM_MESTRADO,QT_SERV_COM_DOUTORADO,QT_TOTAL_SERVIDORES,QT_TOTAL_SERVIDORES_ESTAB,QT_DOCEN_FEMI_AFAST,QT_DOCEN_MASC_AFAST,QT_DOCEN_MASC_EXERC,QT_DOCEN_FEMI_EXERC,QT_DOCEN_AFAST_CURS_POS,QT_DOCEN_AFAST_OUTROS_MOT,QT_DOCEN_PARC_SEM_GRADU,QT_DOCEN_INT_SEM_GRADU,QT_DOCEN_PARC_GRADU,QT_DOCEN_INT_GRADU,QT_DOCEN_PARC_ESPEC,QT_DOCEN_INT_ESPEC,QT_DOCEN_PARC_MESTRADO,QT_DOCEN_INT_MESTRADO,QT_DOCEN_PARC_DOUTORADO,QT_DOCEN_INT_DOUTORADO
588,1995,SAO PAULO,351506150308,SAO PAULO,S,SP,Sao Paulo,SUDESTE,1,4,3,,,0,0,0,0,0,281,0,6,6,159,110,0,12,0,0,154,0,25,0,47,0,43,0
877,1995,MARILIA,350903829005,MARILIA,N,SP,Sao Paulo,SUDESTE,1,2,4,0.0,0.0,0,0,0,0,0,1292,0,0,5,110,79,2,3,0,0,1,3,87,53,14,20,7,4
756,1995,BATATAIS,350201505906,BATATAIS,N,SP,Sao Paulo,SUDESTE,1,4,3,,,0,0,0,0,0,46,0,0,0,45,27,0,0,0,0,61,0,6,0,3,0,2,0
358,1995,ALEM PARAIBA,311206601508,ALEM PARAIBA,N,MG,Minas Gerais,SUDESTE,1,4,4,0.0,0.0,0,0,0,0,0,14,0,4,1,17,13,0,5,0,0,11,0,19,0,0,0,0,0
255,1995,ITUMBIARA,520501511503,ITUMBIARA,N,GO,Goias,CENTRO-OESTE,1,3,4,0.0,0.0,0,0,0,0,0,5,0,0,0,7,9,0,0,0,0,5,0,8,0,2,0,1,0
267,1995,GARCA,350903816705,GARCA,N,SP,Sao Paulo,SUDESTE,1,4,4,0.0,0.0,0,0,0,0,0,14,0,0,0,25,11,0,0,0,0,3,0,26,0,4,0,3,0
67,1995,SAO BERNARDO DO CAMPO,351506148708,SAO BERNARDO DO CAMPO,N,SP,Sao Paulo,SUDESTE,1,4,4,0.0,0.0,0,0,0,0,0,18,0,0,0,9,5,0,0,0,0,0,0,7,0,7,0,0,0
320,1995,SAO JOSE DO RIO PRETO,350100449805,SAO JOSE DO RIO PRETO,N,SP,Sao Paulo,SUDESTE,1,4,4,0.0,0.0,0,0,0,0,0,13,0,0,0,5,3,0,0,0,0,0,0,8,0,0,0,0,0
513,1995,PONTA PORA,500401006606,PONTA PORA,N,MS,Mato Grosso do Sul,CENTRO-OESTE,1,4,4,0.0,0.0,0,0,0,0,0,6,0,1,0,4,12,0,1,0,0,2,0,14,0,0,0,0,0
175,1995,LAGES,420301009300,LAGES,N,SC,Santa Catarina,SUL,1,4,4,0.0,0.0,0,0,0,0,0,9,0,0,0,49,16,0,0,0,0,14,0,49,0,2,0,0,0
