NU_ANO_CENSO,NO_REGIAO_IES,CO_REGIAO_IES,NO_UF_IES,SG_UF_IES,CO_UF_IES,NO_MUNICIPIO_IES,CO_MUNICIPIO_IES,IN_CAPITAL_IES,NO_MESORREGIAO_IES,CO_MESORREGIAO_IES,NO_MICRORREGIAO_IES,CO_MICRORREGIAO_IES,TP_ORGANIZACAO_ACADEMICA,TP_REDE,TP_CATEGORIA_ADMINISTRATIVA,IN_COMUNITARIA,IN_CONFESSIONAL,NO_MANTENEDORA,CO_MANTENEDORA,CO_IES,NO_IES,SG_IES,DS_ENDERECO_IES,DS_NUMERO_ENDERECO_IES,DS_COMPLEMENTO_ENDERECO_IES,NO_BAIRRO_IES,NU_CEP_IES,QT_TEC_TOTAL,QT_TEC_FUNDAMENTAL_INCOMP_FEM,QT_TEC_FUNDAMENTAL_INCOMP_MASC,QT_TEC_FUNDAMENTAL_COMP_FEM,QT_TEC_FUNDAMENTAL_COMP_MASC,QT_TEC_MEDIO_FEM,QT_TEC_MEDIO_MASC,QT_TEC_SUPERIOR_FEM,QT_TEC_SUPERIOR_MASC,QT_TEC_ESPECIALIZACAO_FEM,QT_TEC_ESPECIALIZACAO_MASC,QT_TEC_MESTRADO_FEM,QT_TEC_MESTRADO_MASC,QT_TEC_DOUTORADO_FEM,QT_TEC_DOUTORADO_MASC,IN_ACESSO_PORTAL_CAPES,IN_ACESSO_OUTRAS_BASES,IN_ASSINA_OUTRA_BASE,IN_REPOSITORIO_INSTITUCIONAL,IN_BUSCA_INTEGRADA,IN_SERVICO_INTERNET,IN_PARTICIPA_REDE_SOCIAL,IN_CATALOGO_ONLINE,QT_PERIODICO_ELETRONICO,QT_LIVRO_ELETRONICO,QT_DOC_TOTAL,QT_DOC_EXE,QT_DOC_EX_FEMI,QT_DOC_EX_MASC,QT_DOC_EX_SEM_GRAD,QT_DOC_EX_GRAD,QT_DOC_EX_ESP,QT_DOC_EX_MEST,QT_DOC_EX_DOUT,QT_DOC_EX_INT,QT_DOC_EX_INT_DE,QT_DOC_EX_INT_SEM_DE,QT_DOC_EX_PARC,QT_DOC_EX_HOR,QT_DOC_EX_0_29,QT_DOC_EX_30_34,QT_DOC_EX_35_39,QT_DOC_EX_40_44,QT_DOC_EX_45_49,QT_DOC_EX_50_54,QT_DOC_EX_55_59,QT_DOC_EX_60_MAIS,QT_DOC_EX_BRANCA,QT_DOC_EX_PRETA,QT_DOC_EX_PARDA,QT_DOC_EX_AMARELA,QT_DOC_EX_INDIGENA,QT_DOC_EX_COR_ND,QT_DOC_EX_BRA,QT_DOC_EX_EST,QT_DOC_EX_COM_DEFICIENCIA
2023,Sudeste,3,São Paulo,SP,35,Itápolis,3522703,0,Araraquara,5,Araraquara,24,3,2,4,0,0,ASSOCIACAO EDUCACIONAL E CULTURAL DE ITAPOLIS LTDA - EPP,853,1279,FACULDADE DE ITÁPOLIS - FACITA,FACITA,Rua Mário de Souza Castro,200,-,Santa Mônica,14900000.0,6,0,0,0,0,0,0,0,1,2,0,2,1,0,0,0,0,1,0,1,1,1,1,62,0,15,15,10,5,0,0,6,9,0,5,0,5,1,9,0,1,4,3,1,1,2,3,15,0,0,0,0,0,15,0,0
2023,Sudeste,3,Rio de Janeiro,RJ,33,Petrópolis,3303906,0,Metropolitana do Rio de Janeiro,6,Serrana,15,3,2,5,0,0,FUNDACAO OCTACILIO GUALBERTO,328,475,FACULDADE DE MEDICINA DE PETRÓPOLIS,FMP,Avenida Barão do Rio Branco,1003,-,Centro,25680120.0,376,22,24,13,14,58,38,48,26,87,38,6,2,0,0,0,0,1,0,1,1,0,1,1031,16412,348,345,203,142,0,0,56,175,114,95,0,95,229,21,5,15,43,56,42,44,48,92,309,1,11,3,1,20,340,5,1
2023,Sudeste,3,São Paulo,SP,35,Mogi das Cruzes,3530607,0,Metropolitana de São Paulo,15,Mogi das Cruzes,62,1,2,4,0,0,ORGANIZACAO MOGIANA DE EDUCACAO E CULTURA SOCIEDADE SIMPLES LIMITADA,362,521,UNIVERSIDADE DE MOGI DAS CRUZES,UMC,Avenida Doutor Cândido Xavier de Almeida Souza,200,Campus Universitário,Centro Cívico,8780911.0,268,0,0,4,4,69,73,45,37,11,6,7,5,4,3,1,0,1,0,0,1,1,1,0,28510,463,454,199,255,0,0,118,194,142,189,0,189,159,106,16,23,40,73,86,68,56,92,350,9,57,19,0,19,447,7,4
2023,Sudeste,3,São Paulo,SP,35,São Paulo,3550308,1,Metropolitana de São Paulo,15,São Paulo,61,2,2,5,1,0,FUNDACAO ESCOLA DE COMERCIO ALVARES PENTEADO - FECAP,151,213,CENTRO UNIVERSITÁRIO ÁLVARES PENTEADO,FECAP,Avenida da Liberdade,532,Bloco C,Liberdade,1502001.0,200,1,1,8,9,37,36,29,25,15,20,7,3,1,8,1,0,1,1,1,1,1,1,62,158,101,99,32,67,0,0,0,30,69,25,0,25,22,52,0,3,12,17,30,15,7,15,81,3,10,2,0,3,98,1,0
2023,Sudeste,3,Minas Gerais,MG,31,Extrema,3125101,0,Sul/Sudoeste de Minas,10,Pouso Alegre,52,3,2,5,0,0,SOCIEDADE UNIFICADA DE EDUCACAO DE EXTREMA,1477,2270,FACULDADE DE CIÊNCIAS SOCIAIS APLICADAS DE EXTREMA,FAEX,Estrada Municipal Pedro Rosa da Silva,s/n,-,Vila Rica,37640000.0,55,5,2,0,2,17,6,9,3,4,5,0,2,0,0,1,0,1,1,1,1,1,1,10644,10644,54,53,22,31,0,0,21,28,4,0,0,0,0,53,4,3,12,12,9,8,1,4,47,1,0,1,0,4,53,0,0
2023,Sudeste,3,Minas Gerais,MG,31,Manhuaçu,3139409,0,Zona da Mata,12,Manhuaçu,61,2,2,4,0,0,CENTRO SUPERIOR DE ESTUDOS DE MANHUACU LTDA,1301,1984,Centro Universitário Unifacig,,Rua Darcy César de Oliveira Leite,600,-,Alfa Sul,36900000.0,86,2,2,0,1,11,11,18,10,6,4,12,7,1,1,0,0,1,1,1,1,1,1,890,208015,122,122,66,56,0,0,11,87,24,56,20,36,60,6,11,25,34,20,19,8,3,2,68,2,36,1,0,15,122,0,1
2023,Nordeste,2,Bahia,BA,29,Porto Seguro,2925303,0,Sul Baiano,7,Porto Seguro,32,3,2,4,0,0,NASCIMENTO CONSULTORIA E ASSESSORIA EDUCACIONAL LTDA,18642,2140,FACULDADE NOSSA SENHORA DE LOURDES,FNSL,Rua Manoel Fernandes  Almeida,51,-,Centro,45810000.0,4,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,32,2698,6,6,4,2,0,0,3,2,1,6,5,1,0,0,0,0,0,1,1,1,0,3,1,0,3,0,0,2,6,0,0
2023,Sudeste,3,Minas Gerais,MG,31,Luz,3138807,0,Central Mineira,6,Bom Despacho,26,3,2,5,0,0,OBRAS SOCIAIS E EDUCACIONAIS DE LUZ,488,727,"FACULDADE DE FILOSOFIA, CIÊNCIAS E LETRAS DO ALTO SÃO FRANCISCO",FASF,Rua Nossa Senhora de Fátima,307,-,Centro,35595000.0,33,0,0,1,2,5,0,3,1,8,4,3,5,1,0,1,0,1,1,1,1,1,1,265,18000,59,59,25,34,0,0,21,26,12,11,0,11,48,0,4,3,12,14,8,12,4,2,42,2,15,0,0,0,58,1,0
2023,Sudeste,3,São Paulo,SP,35,São Paulo,3550308,1,Metropolitana de São Paulo,15,São Paulo,61,1,2,5,0,0,CEISP SERVICOS EDUCACIONAIS LTDA,16878,319,UNIVERSIDADE BRASIL,UB,Rua Carolina Fonseca,584,Campus Sede - Itaquera,ITAQUERA,8230030.0,151,0,0,0,2,30,22,51,27,10,2,2,2,1,2,1,0,1,1,1,1,1,1,2600,216514,368,367,187,180,0,0,114,139,114,119,0,119,155,93,13,48,69,81,55,30,25,46,225,2,19,3,1,117,364,3,2
2023,Sudeste,3,São Paulo,SP,35,Sertãozinho,3551702,0,Ribeirão Preto,2,Ribeirão Preto,14,3,2,4,0,0,ANHANGUERA EDUCACIONAL PARTICIPACOES S/A,16452,1456,FACULDADE ANHANGUERA DE SERTÃOZINHO,FASERT,Avenida Antônio Paschoal,1954,-,Jardim São José,14170700.0,18,0,0,1,0,5,2,3,4,0,0,3,0,0,0,0,0,1,1,0,1,1,1,32908,263916,57,57,27,30,0,0,9,15,33,8,0,8,31,18,1,8,9,12,12,4,5,6,44,2,9,0,0,2,57,0,0
