NU_ANO_CENSO,NO_REGIAO_IES,CO_REGIAO_IES,NO_UF_IES,SG_UF_IES,CO_UF_IES,NO_MUNICIPIO_IES,CO_MUNICIPIO_IES,IN_CAPITAL_IES,NO_MESORREGIAO_IES,CO_MESORREGIAO_IES,NO_MICRORREGIAO_IES,CO_MICRORREGIAO_IES,TP_ORGANIZACAO_ACADEMICA,TP_REDE,TP_CATEGORIA_ADMINISTRATIVA,IN_COMUNITARIA,IN_CONFESSIONAL,NO_MANTENEDORA,CO_MANTENEDORA,CO_IES,NO_IES,SG_IES,DS_ENDERECO_IES,DS_NUMERO_ENDERECO_IES,DS_COMPLEMENTO_ENDERECO_IES,NO_BAIRRO_IES,NU_CEP_IES,QT_TEC_TOTAL,QT_TEC_FUNDAMENTAL_INCOMP_FEM,QT_TEC_FUNDAMENTAL_INCOMP_MASC,QT_TEC_FUNDAMENTAL_COMP_FEM,QT_TEC_FUNDAMENTAL_COMP_MASC,QT_TEC_MEDIO_FEM,QT_TEC_MEDIO_MASC,QT_TEC_SUPERIOR_FEM,QT_TEC_SUPERIOR_MASC,QT_TEC_ESPECIALIZACAO_FEM,QT_TEC_ESPECIALIZACAO_MASC,QT_TEC_MESTRADO_FEM,QT_TEC_MESTRADO_MASC,QT_TEC_DOUTORADO_FEM,QT_TEC_DOUTORADO_MASC,IN_ACESSO_PORTAL_CAPES,IN_ACESSO_OUTRAS_BASES,IN_ASSINA_OUTRA_BASE,IN_REPOSITORIO_INSTITUCIONAL,IN_BUSCA_INTEGRADA,IN_SERVICO_INTERNET,IN_PARTICIPA_REDE_SOCIAL,IN_CATALOGO_ONLINE,QT_PERIODICO_ELETRONICO,QT_LIVRO_ELETRONICO,QT_DOC_TOTAL,QT_DOC_EXE,QT_DOC_EX_FEMI,QT_DOC_EX_MASC,QT_DOC_EX_SEM_GRAD,QT_DOC_EX_GRAD,QT_DOC_EX_ESP,QT_DOC_EX_MEST,QT_DOC_EX_DOUT,QT_DOC_EX_INT,QT_DOC_EX_INT_DE,QT_DOC_EX_INT_SEM_DE,QT_DOC_EX_PARC,QT_DOC_EX_HOR,QT_DOC_EX_0_29,QT_DOC_EX_30_34,QT_DOC_EX_35_39,QT_DOC_EX_40_44,QT_DOC_EX_45_49,QT_DOC_EX_50_54,QT_DOC_EX_55_59,QT_DOC_EX_60_MAIS,QT_DOC_EX_BRANCA,QT_DOC_EX_PRETA,QT_DOC_EX_PARDA,QT_DOC_EX_AMARELA,QT_DOC_EX_INDIGENA,QT_DOC_EX_COR_ND,QT_DOC_EX_BRA,QT_DOC_EX_EST,QT_DOC_EX_COM_DEFICIENCIA
2023,Sudeste,3,Minas Gerais,MG,31,Juiz de Fora,3136702,0,Zona da Mata,12,Juiz de Fora,65,3,2,5,0,0,INSTITUTO ENSINAR BRASIL,218,2220,Faculdade Doctum de Juiz de Fora,DOCTUM,Estrada Dom Orione,s/n,-,Dom Bosco,36025660.0,38,0,0,2,0,10,19,3,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,90,13376,68,68,24,44,0,0,4,37,27,0,0,0,68,0,2,10,7,16,16,4,7,6,43,1,9,0,0,15,68,0,0
2023,Sudeste,3,Rio de Janeiro,RJ,33,Rio de Janeiro,3304557,1,Metropolitana do Rio de Janeiro,6,Rio de Janeiro,18,3,1,1,0,0,INSTITUTO MILITAR DE ENGENHARIA,17169,633,INSTITUTO MILITAR DE ENGENHARIA,IME,Praça General Tibúrcio,80,-,URCA,22290270.0,271,0,4,0,2,7,96,4,78,16,39,4,12,3,6,1,0,1,1,1,1,0,1,0,17850,222,220,31,189,0,0,0,53,167,186,54,132,34,0,1,7,25,35,28,37,27,60,165,3,27,1,0,24,217,3,0
2023,Sudeste,3,Minas Gerais,MG,31,Lavras,3138203,0,Campo das Vertentes,11,Lavras,57,1,1,1,0,0,UNIVERSIDADE FEDERAL DE LAVRAS,8137,592,UNIVERSIDADE FEDERAL DE LAVRAS,UFLA,Trevo Rotatório Professor Edmir Sá Santos,S/N,-,Universidade Federal de Lavras,37203202.0,575,0,3,1,2,4,20,27,40,87,109,81,106,55,40,1,0,1,1,0,1,1,1,32217,27293,865,854,341,513,0,0,28,41,785,846,759,87,8,0,9,71,185,184,129,89,101,86,380,16,68,4,0,386,836,18,0
2023,Norte,1,Amapá,AP,16,Macapá,1600303,1,Sul do Amapá,2,Macapá,3,3,2,5,0,0,IGREJA EVANGELICA ASSEMBLEIA DE DEUS DE MACAPA,1361,2069,FACULDADE DE TEOLOGIA E CIÊNCIAS HUMANAS,FATECH,Avenida Professora Cora de Carvalho,1648,- até 2399/2400,Central,68900040.0,10,0,1,0,0,2,1,0,1,1,2,1,1,0,0,0,0,0,1,1,1,1,1,9,2500,13,13,7,6,0,0,5,5,3,3,0,3,2,8,0,1,2,0,3,1,4,2,5,2,5,0,0,1,13,0,0
2023,Norte,1,Pará,PA,15,Belém,1501402,1,Metropolitana de Belém,3,Belém,7,3,2,4,0,0,SOCIEDADE EDUCACIONAL IDEAL LTDA,941,1423,Faculdade Ideal Wyden,Faci Wyden,TRAVESSA TUPINAMBÁS,461,ENTRE AS RUAS MUNDURUCUS E PARIQUIS,BATISTA CAMPOS,66025610.0,131,0,1,1,2,11,22,18,3,13,10,24,19,3,4,0,0,1,1,0,1,1,1,36000,25000,120,120,75,45,0,0,14,79,27,26,0,26,42,52,4,29,31,25,18,9,1,3,38,1,23,0,0,58,119,1,0
2023,Nordeste,2,Bahia,BA,29,Salvador,2927408,1,Metropolitana de Salvador,5,Salvador,21,2,2,4,0,0,"IREP SOCIEDADE DE ENSINO SUPERIOR, MEDIO E FUNDAMENTAL LTDA.",545,1058,Centro Universitário Estácio da Bahia,Estácio Bahia,Rua Xingu,179,Jardim Atalaia,STIEP,41770130.0,221,0,0,0,0,21,21,18,15,60,21,29,20,11,5,0,0,1,0,0,1,0,1,36000,25000,287,287,168,119,0,0,67,142,78,83,0,83,81,123,5,48,57,54,50,31,19,23,69,12,46,0,2,158,285,2,2
2023,Sudeste,3,São Paulo,SP,35,Rio Claro,3543907,0,Piracicaba,6,Rio Claro,26,2,2,5,1,0,ACAO EDUCACIONAL CLARETIANA,780,1854,CLARETIANO - CENTRO UNIVERSITÁRIO,,Avenida Santo Antonio Maria Claret,1724,- de 1144/1145 a 1723/1724,Jardim Claret,13503257.0,141,2,4,12,3,25,19,27,12,13,7,5,7,1,4,0,0,1,1,1,1,0,1,3011,43239,121,121,54,67,0,0,39,45,37,17,1,16,70,34,3,5,16,18,31,18,13,17,110,0,4,0,0,7,121,0,0
2023,Nordeste,2,Bahia,BA,29,Salvador,2927408,1,Metropolitana de Salvador,5,Salvador,21,3,2,5,0,0,FUNDACAO VISCONDE DE CAIRU,111,1363,FACULDADE VISCONDE DE CAIRÚ,FAVIC,RUA DO SALETE,50,-,BARRIS,40070200.0,47,0,2,3,4,10,10,3,7,3,2,2,1,0,0,0,0,0,0,1,1,1,1,253,12000,108,106,52,54,0,0,25,59,22,22,0,22,22,62,2,6,12,10,18,13,18,27,38,13,45,0,1,9,105,1,0
2023,Nordeste,2,Bahia,BA,29,Salvador,2927408,1,Metropolitana de Salvador,5,Salvador,21,3,2,4,0,0,SOCIEDADE EDUCACIONAL BRASILEIRA - SABER LTDA,17450,1937,FACULDADE EVANGÉLICA DE SALVADOR,FACESA,Avenida Antônio Carlos Magalhães,3749,#NOME?,Pituba,41830355.0,4,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,20,11,5,4,3,1,0,0,1,1,2,0,0,0,4,0,0,0,1,0,1,1,1,0,0,0,4,0,0,0,4,0,0
2023,Sudeste,3,Minas Gerais,MG,31,Juiz de Fora,3136702,0,Zona da Mata,12,Juiz de Fora,65,1,1,1,0,0,UNIVERSIDADE FEDERAL DE JUIZ DE FORA UFJF,15648,576,UNIVERSIDADE FEDERAL DE JUIZ DE FORA,UFJF,Campus Universitário,s/n,UFJF,São Pedro,36036900.0,1241,0,12,1,3,26,39,58,101,248,201,276,183,52,41,1,0,1,1,1,1,1,1,17,397,1775,1713,792,921,0,6,85,206,1416,1584,1346,238,129,0,38,138,227,354,279,239,210,228,684,28,109,9,0,883,1692,21,3
2023,Sul,4,Rio Grande do Sul,RS,43,São Leopoldo,4318705,0,Metropolitana de Porto Alegre,5,Porto Alegre,26,3,2,5,1,1,INSTITUICAO SINODAL DE ASSISTENCIA EDUCACAO E CULTURA,915,1382,Faculdades EST,EST,Rua Amadeo Rossi,467,-,Morro do Espelho,93030220.0,32,2,1,1,1,4,8,7,3,3,0,1,1,0,0,1,0,1,1,0,1,1,1,52000,113,25,25,9,16,0,0,2,6,17,8,8,0,7,10,0,0,1,1,3,6,4,10,24,1,0,0,0,0,25,0,0
2023,Sudeste,3,Rio de Janeiro,RJ,33,Rio de Janeiro,3304557,1,Metropolitana do Rio de Janeiro,6,Rio de Janeiro,18,3,1,1,0,0,FUNDACAO INSTIT BRAS DE GEOGRAFIA E ESTATISTICA IBGE,26,26,ESCOLA NACIONAL DE CIÊNCIAS ESTATÍSTICAS,ENCE,Rua André Cavalcanti,106,-,Santa Teresa,20231050.0,80,0,0,0,0,1,6,1,1,11,7,9,8,17,19,1,0,0,1,1,1,0,1,84,1517,33,33,16,17,0,0,0,5,28,29,2,27,4,0,0,1,3,7,8,7,3,4,22,1,4,1,1,4,33,0,0
2023,Sudeste,3,São Paulo,SP,35,Americana,3501608,0,Campinas,7,Campinas,32,3,1,2,0,0,CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA,33,35,"FACULDADE DE TECNOLOGIA DE AMERICANA ""MINISTRO RALPH BIASI""",FATEC-AM,Rua Emílio de Menezes,s/n,-,Vila Amorim,13469111.0,14,0,0,0,0,2,1,6,1,3,1,0,0,0,0,1,0,0,1,1,1,0,1,1,0,143,141,35,106,0,0,39,64,38,14,4,10,79,48,1,6,21,17,19,23,19,35,135,0,6,0,0,0,140,1,0
2023,Sul,4,Paraná,PR,41,Ibaiti,4109708,0,Norte Pioneiro Paranaense,4,Ibaiti,17,3,2,5,0,0,UNIESP S.A,16134,1449,FACULDADE DE IBAITI,FEATI,Avenida Tertuliano de Moura Bueno,1400,Prédio,Flamenguinho,84900000.0,9,0,0,2,0,0,3,2,0,2,0,0,0,0,0,0,0,0,1,1,1,0,1,22203,11213,9,9,5,4,0,0,7,2,0,1,0,1,4,4,0,2,1,1,1,3,0,1,8,1,0,0,0,0,9,0,0
2023,Nordeste,2,Pernambuco,PE,26,Recife,2611606,1,Metropolitana de Recife,5,Recife,17,1,2,5,1,1,ASSOCIACAO ANTONIO VIEIRA,14,11,UNIVERSIDADE CATÓLICA DE PERNAMBUCO,UNICAP,Rua do Príncipe,526,Campus Universitário-UNICAP,Boa Vista,50050900.0,416,1,4,7,8,43,67,103,81,45,31,7,16,1,2,1,0,0,0,0,1,1,1,174,15459,539,534,246,288,0,0,41,207,286,169,0,169,198,167,4,50,72,73,77,70,64,124,362,20,149,3,0,0,531,3,1
2023,Sudeste,3,São Paulo,SP,35,Franca,3516200,0,Ribeirão Preto,2,Franca,12,1,2,4,0,0,ACEF S/A.,342,496,UNIVERSIDADE DE FRANCA,UNIFRAN,Avenida Doutor Armando Sales Oliveira,201,-,Parque Universitário,14404600.0,185,1,1,6,5,49,52,35,19,13,3,0,0,0,1,1,0,1,1,0,1,0,1,50015,31907,504,502,274,228,0,0,36,276,190,168,0,168,176,158,5,32,81,88,93,79,62,62,425,13,47,3,0,14,501,1,1
2023,Sul,4,Santa Catarina,SC,42,São Bento do Sul,4215802,0,Norte Catarinense,2,São Bento do Sul,7,3,2,5,0,0,UNIAO CRISTA - ASSOCIACAO SOCIAL E EDUCACIONAL,3296,1827,FACULDADE LUTERANA DE TEOLOGIA,FLT,"Wally Malschitzki, Enfermeira - r- M Preto",164,-,Mato Preto,89285295.0,15,0,0,1,0,2,0,2,0,8,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,10,10,2,8,0,1,0,1,8,6,6,0,2,2,0,0,0,2,0,2,5,1,10,0,0,0,0,0,10,0,0
2023,Sul,4,Rio Grande do Sul,RS,43,Osório,4313508,0,Metropolitana de Porto Alegre,5,Osório,27,2,2,5,1,0,CAMPANHA NACIONAL DE ESCOLAS DA COMUNIDADE,407,626,CENTRO UNIVERSITÁRIO CENECISTA DE OSÓRIO,UNICNEC,Rua 24 de Maio,141,-,Centro,95520000.0,58,0,0,4,0,12,10,12,7,3,3,2,2,0,3,1,0,1,1,1,1,1,1,180,10000,51,50,31,19,0,0,4,29,17,7,0,7,27,16,2,6,12,8,7,8,0,7,40,0,2,0,0,8,50,0,0
2023,Sul,4,Santa Catarina,SC,42,Rio do Sul,4214805,0,Vale do Itajaí,4,Rio do Sul,11,2,2,5,1,0,FUNDACAO UNIVERSIDADE PARA O DESENVOLVIMENTO DO ALTO VALE DO ITAJAI - UNIDAVI -,64,80,CENTRO UNIVERSITÁRIO PARA O DESENVOLVIMENTO DO ALTO VALE DO ITAJAÍ,UNIDAVI,Rua Dr. Guilherme Gemballa,13,UNIDAVI,Jardim América,89160932.0,83,0,0,0,0,10,9,15,9,25,11,2,2,0,0,0,0,1,1,1,1,1,1,13000,2700,334,334,156,178,0,0,182,108,44,70,0,70,127,137,20,50,67,61,58,25,29,24,323,1,4,3,0,3,334,0,4
2023,Sudeste,3,São Paulo,SP,35,Garça,3516705,0,Marília,9,Marília,38,3,2,4,0,0,SOCIEDADE CULTURAL E EDUCACIONAL DE GARCA S/S LTDA,585,1307,FACULDADE DE ENSINO SUPERIOR E FORMAÇÃO INTEGRAL,FAEF,Comandante João Ribeiro de Barros,s/n,SP 294,Acesso a Garça km 1,17400000.0,153,3,5,3,9,25,32,15,5,13,8,11,12,6,6,0,0,1,1,1,1,1,1,15,4550,51,51,29,22,0,0,12,23,16,7,7,0,44,0,6,11,13,6,6,5,3,1,46,1,4,0,0,0,51,0,0
2023,Sudeste,3,Rio de Janeiro,RJ,33,Resende,3304201,0,Sul Fluminense,5,Vale do Paraíba Fluminense,11,3,2,5,0,0,ASSOCIACAO EDUCACIONAL DOM BOSCO,327,474,FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DOM BOSCO,FFCLDB,Avenida Professor Antonio Esteves,01,-,Morada da Colina,27523000.0,59,0,1,0,2,7,4,18,9,7,6,0,5,0,0,0,0,1,1,0,1,1,1,361,12000,29,29,18,11,0,0,7,13,9,5,0,5,10,14,0,2,4,7,4,5,2,5,20,1,5,0,0,3,29,0,1
2023,Sul,4,Rio Grande do Sul,RS,43,Caxias do Sul,4305108,0,Nordeste Rio-grandense,2,Caxias do Sul,16,2,2,4,0,0,SOCIEDADE EDUCACIONAL SANTA RITA S.A.,943,1427,CENTRO UNIVERSITÁRIO DA SERRA GAÚCHA,FSG,Rua Marechal Floriano,1229,Centro Universitário da Serra Gaúcha - campus sede,Pio X,95020371.0,89,0,0,3,2,40,10,17,5,6,3,1,1,1,0,0,0,1,1,1,1,0,1,15043,31907,471,471,258,213,0,0,47,263,161,117,0,117,136,218,13,63,89,97,76,63,39,31,392,8,43,3,0,25,467,4,2
2023,Sul,4,Santa Catarina,SC,42,Florianópolis,4205407,1,Grande Florianópolis,5,Florianópolis,16,3,2,4,0,0,SISTEMA DE ENSINO VIVA LTDA,18611,1585,FACULDADE ENERGIA,,Rua Saldanha Marinho,51,-,Centro,88010450.0,10,0,0,0,0,1,2,3,0,1,0,0,3,0,0,0,0,1,1,1,1,1,0,100,200,23,18,5,13,0,0,9,8,1,1,0,1,1,16,0,4,2,3,5,1,2,1,15,0,1,0,0,2,17,1,0
2023,Sul,4,Paraná,PR,41,Telêmaco Borba,4127106,0,Centro Oriental Paranaense,5,Telêmaco Borba,19,2,2,4,0,0,FATEB EDUCACAO INTEGRAL LTDA,1008,1536,Centro Universitário UNIFATEB,,Avenida Marechal Floriano Peixoto,1181,-,Alto das Oliveiras,84266010.0,49,0,0,0,0,19,5,12,3,6,4,0,0,0,0,0,0,0,1,0,1,0,1,355,30239,88,88,47,41,0,0,45,28,15,41,1,40,11,36,11,28,15,15,5,4,6,4,74,0,6,0,0,8,88,0,1
2023,Sudeste,3,Minas Gerais,MG,31,Muriaé,3143906,0,Zona da Mata,12,Muriaé,63,2,2,4,0,0,LAEL VARELLA EDUCACAO E CULTURA LTDA,1260,1913,CENTRO UNIVERSITÁRIO FAMINAS,UNIFAMINAS,Av Avenida Cristiano Ferreira Varella,655,Rodovia BR 116 Km 701,Universitário,36888233.0,193,0,1,0,1,0,53,0,78,0,26,0,22,0,12,0,0,1,1,1,1,1,1,9000,12000,184,173,92,81,0,0,33,79,61,57,0,57,45,71,8,44,46,30,24,9,7,5,140,4,27,0,1,1,173,0,0
2023,Sudeste,3,São Paulo,SP,35,Ribeirão Preto,3543402,0,Ribeirão Preto,2,Ribeirão Preto,14,2,2,5,0,0,ORGANIZACAO EDUCACIONAL BARAO DE MAUA,98,138,CENTRO UNIVERSITÁRIO BARÃO DE MAUÁ,CBM,Rua Ramos de Azevedo,423,-,Jardim Paulista,14090180.0,344,0,0,18,8,100,70,55,36,25,5,9,6,6,6,0,0,1,1,1,1,0,1,22000,22140,345,337,197,140,0,0,54,122,161,71,0,71,185,81,5,35,60,58,69,47,30,33,311,1,16,7,2,0,336,1,0
2023,Sudeste,3,Espírito Santo,ES,32,Vila Velha,3205200,0,Central Espírito-santense,3,Vitória,9,3,2,4,0,0,NOVO MILENIO EDUCACAO LTDA,17847,1308,FACULDADE NOVO MILÊNIO,FNM,Avenida Santa Leopoldina,840,- de 631/632 a 999/1000,Coqueiral de Itaparica,29102375.0,17,0,0,0,0,1,3,6,2,1,1,0,1,2,0,0,0,0,1,1,1,1,0,35000,35000,41,40,21,19,0,0,7,28,5,9,0,9,17,14,0,2,6,6,10,6,5,5,30,1,9,0,0,0,40,0,1
2023,Sudeste,3,São Paulo,SP,35,São Paulo,3550308,1,Metropolitana de São Paulo,15,São Paulo,61,1,2,4,0,0,CRUZEIRO DO SUL EDUCACIONAL S.A.,159,221,UNIVERSIDADE CRUZEIRO DO SUL,UNICSUL,Avenida Doutor Ussiel Cirilo,111 a 213,-,Vila Jacuí,8060070.0,688,0,0,5,5,179,119,165,98,61,39,4,5,6,2,1,0,1,1,0,1,0,1,50015,31907,818,818,417,401,0,0,77,415,326,280,0,280,191,347,20,80,116,129,144,124,105,100,630,13,145,10,0,20,813,5,6
2023,Sul,4,Santa Catarina,SC,42,Lages,4209300,0,Serrana,3,Campos de Lages,10,1,2,5,0,0,FUNDACAO DAS ESCOLAS UNIDAS DO PLANALTO CATARINENSE,334,1189,UNIVERSIDADE DO PLANALTO CATARINENSE,UNIPLAC,Avenida Castelo Branco,170,-,Universitário,88509900.0,146,0,0,1,1,31,11,38,19,27,9,5,3,1,0,1,0,1,1,1,1,1,0,0,12000,414,412,206,206,0,0,209,151,52,78,2,76,147,187,11,48,60,82,55,44,60,52,374,4,8,3,1,22,411,1,2
2023,Norte,1,Rondônia,RO,11,Pimenta Bueno,1100189,0,Leste Rondoniense,2,Vilhena,7,3,2,4,0,0,PIMENTA BUENO SERVICOS EDUCACIONAIS LTDA,17846,1403,Faculdade Estácio de Pimenta Bueno,Estácio FAP,Avenida Castelo Branco,780,-,Centro,76970000.0,41,1,1,0,0,3,1,3,1,13,11,3,4,0,0,0,0,1,1,0,1,0,1,36000,25000,40,40,21,19,0,0,15,15,10,14,0,14,9,17,4,8,13,5,5,2,2,1,13,0,9,0,0,18,40,0,0
2023,Nordeste,2,Piauí,PI,22,Teresina,2211001,1,Centro-Norte Piauiense,2,Teresina,3,3,2,4,0,0,C VIEIRA SERVICOS - EPP,1102,1677,FACULDADE DE ENSINO SUPERIOR DO PIAUÍ,FAESPI,Rua Primeiro de Maio,2235,-,Primavera,64002510.0,7,0,1,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,45,45,43,38,26,12,0,0,15,19,4,8,0,8,19,11,8,8,4,6,4,2,4,2,12,5,21,0,0,0,38,0,0
2023,Sudeste,3,Rio de Janeiro,RJ,33,Rio de Janeiro,3304557,1,Metropolitana do Rio de Janeiro,6,Rio de Janeiro,18,2,2,4,0,0,INSTITUTO CAMPINENSE DE ENSINO SUPERIOR LTDA,2447,610,CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU DO RIO DE JANEIRO,UNINASSAU,Rua Marquês de Abrantes,55,-,Flamengo,22230060.0,68,0,0,0,2,4,17,17,15,3,0,4,3,0,3,0,0,0,1,0,1,1,1,517000,29000,110,110,66,44,0,0,9,53,48,46,0,46,36,28,6,10,21,22,20,11,11,9,58,0,51,0,0,1,109,1,0
2023,Sudeste,3,Espírito Santo,ES,32,Cachoeiro de Itapemirim,3201209,0,Sul Espírito-santense,4,Cachoeiro de Itapemirim,12,3,2,5,0,0,FUNDACAO EDUCACIONAL VALE DO ITAPEMIRIM - FEVIT.,395,606,FACULDADE DE DIREITO DE CACHOEIRO DO ITAPEMIRIM,FDCI,"Es, 482-Cachoeiroxalegre",KM 05,RODOVIA,-,29313210.0,17,2,1,0,1,2,3,0,3,4,0,1,0,0,0,0,0,1,1,1,1,1,1,48,126,23,23,9,14,0,0,7,10,6,4,0,4,8,11,1,2,3,2,6,3,3,3,20,0,3,0,0,0,23,0,0
2023,Sudeste,3,Espírito Santo,ES,32,São Mateus,3204906,0,Litoral Norte Espírito-santense,2,São Mateus,5,2,2,4,0,0,INSTITUTO VALE DO CRICARE LTDA,994,1514,CENTRO UNIVERSITÁRIO VALE DO CRICARÉ,UNIVC,Rua Humberto de Almeida Franklin,257,Unidade- São Mateus- uNIVERSITÁRIO,Universitário,29933480.0,79,1,0,3,7,29,17,7,5,6,2,1,0,0,1,1,0,0,1,0,1,0,1,223,12925,128,112,56,56,0,0,32,51,29,20,0,20,71,21,6,18,19,19,19,8,10,13,59,6,41,0,0,6,112,0,0
2023,Sudeste,3,São Paulo,SP,35,São Paulo,3550308,1,Metropolitana de São Paulo,15,São Paulo,61,1,1,2,0,0,UNIVERSIDADE ESTADUAL PAULISTA JULIO DE MESQUITA FILHO,17109,56,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,UNESP,Rua Quirino de Andrade,215,-,Centro,1049010.0,3396,1,1,3,5,118,236,644,616,710,494,174,146,142,106,1,0,1,1,1,1,1,1,35,308537,3035,3020,1248,1772,0,2,1,20,2997,2860,2844,16,160,0,8,107,209,467,417,474,539,799,1190,19,56,30,0,1725,2931,89,2
2023,Centro-Oeste,5,Goiás,GO,52,Valparaíso de Goiás,5221858,0,Leste Goiano,4,Entorno de Brasília,12,3,2,4,0,0,CENTRO EDUCACIONAL SUPERIOR TECNOLOGICO LTDA,18650,1402,INSTITUTO DE CIÊNCIAS SOCIAIS E HUMANAS,ICSH,"Rua 17, Quadra 47",18 a 20,"(Quadras 36,37,47,48,58,59)",Jardim Oriente,72870215.0,3,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,6,1,11,7,6,1,0,0,6,1,0,0,0,0,7,0,0,0,0,2,1,2,2,0,6,0,1,0,0,0,7,0,0
2023,Sul,4,Paraná,PR,41,União da Vitória,4128203,0,Sudeste Paranaense,9,União da Vitória,33,2,1,3,0,0,FUNDACAO MUNICIPAL CENTRO UNIVERSITARIO DA CIDADE DE UNIAO DA VITORIA - UNIUV,423,649,CENTRO UNIVERSITÁRIO DE UNIÃO DA VITÓRIA,UNIUV,Avenida Bento Munhoz da Rocha Neto,3.856,-,São Basílio Magno,84600000.0,7,0,0,1,0,0,1,3,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,10,0,89,79,34,45,0,0,27,42,10,24,24,0,55,0,0,11,15,14,20,7,9,3,78,0,1,0,0,0,79,0,0
2023,Sudeste,3,Rio de Janeiro,RJ,33,Volta Redonda,3306305,0,Sul Fluminense,5,Vale do Paraíba Fluminense,11,3,2,4,0,0,INSTITUTO DE CULTURA TECNICA SOCIEDADE CIVIL LTDA,1028,1564,FACULDADE SUL FLUMINENSE,FASF,Rua Alberto Rodrigues,39,-,Jardim Amália I,27251220.0,44,0,0,2,3,16,7,9,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,45,15484,18,14,4,10,0,0,2,11,1,3,0,3,3,8,0,3,1,0,3,1,4,2,7,1,4,0,0,2,14,0,0
2023,Sudeste,3,São Paulo,SP,35,Araras,3503307,0,Piracicaba,6,Limeira,27,2,2,5,0,0,ASSOCIACAO EDUCACIONAL DE ARARAS,89,125,CENTRO UNIVERSITÁRIO DE ARARAS -,UNAR,Avenida Ernani Lacerda de Oliveira,100,-,Parque Santa Cândida,13603112.0,58,1,1,0,1,12,4,14,3,14,3,0,3,1,1,0,0,1,0,0,0,1,1,83,3000,59,57,18,39,0,0,13,30,14,15,0,15,25,17,1,3,13,12,8,12,5,3,51,0,1,0,0,5,56,1,0
2023,Norte,1,Pará,PA,15,Belém,1501402,1,Metropolitana de Belém,3,Belém,7,1,1,1,0,0,UNIVERSIDADE FEDERAL RURAL DA AMAZONIA,16350,590,UNIVERSIDADE FEDERAL RURAL DA AMAZÔNIA,UFRA,Avenida Presidente Tancredo Neves,2501,-,Terra Firme,66077580.0,544,2,14,1,13,7,53,34,53,127,115,51,42,17,15,1,0,0,1,0,1,1,1,675,0,445,445,200,245,0,4,6,53,382,439,419,20,6,0,6,52,107,103,63,38,31,45,183,40,213,9,0,0,441,4,2
2023,Sudeste,3,Minas Gerais,MG,31,Santa Rita do Sapucaí,3159605,0,Sul/Sudoeste de Minas,10,Santa Rita do Sapucaí,53,3,2,5,0,0,FUNDACAO INSTITUTO NACIONAL DE TELECOMUNICACOES,90,126,INSTITUTO NACIONAL DE TELECOMUNICAÇÕES,INATEL,Avenida João de Camargo,510,-,Centro,37540000.0,812,5,4,16,21,56,131,151,287,38,54,6,34,3,6,1,0,0,1,0,1,1,1,311,640,70,70,11,59,0,0,8,37,25,40,0,40,10,20,4,11,5,12,13,13,10,2,55,0,2,2,0,11,69,1,0
2023,Centro-Oeste,5,Mato Grosso do Sul,MS,50,Campo Grande,5002704,1,Centro Norte de Mato Grosso do Sul,2,Campo Grande,4,1,2,4,0,0,PITAGORAS - SISTEMA DE EDUCACAO SUPERIOR SOCIEDADE LTDA,1204,671,UNIVERSIDADE ANHANGUERA,UNIDERP,Rua Ceará,333,CAMPO GRANDE/MS - MATRIZ,Miguel Couto,79003010.0,101,0,0,6,2,19,16,19,14,6,10,3,5,1,0,0,0,1,1,0,1,1,1,32908,263916,581,581,360,221,0,0,205,235,141,216,0,216,319,46,29,111,133,109,79,40,38,42,460,11,93,15,0,2,579,2,9
2023,Sudeste,3,São Paulo,SP,35,Avaré,3504503,0,Bauru,4,Avaré,22,2,2,4,0,0,INSTITUICAO CHADDAD DE ENSINO LTDA,878,1317,Centro Universitário Sudoeste Paulista,UniFSP,Avenida Professor Celso Ferreira da Silva,1001,-,Jardim Europa,18707150.0,60,2,4,3,3,8,22,10,4,4,0,0,0,0,0,0,0,1,1,1,1,1,0,150,15000,139,137,75,62,0,0,24,64,49,47,14,33,63,27,5,14,31,27,26,16,9,9,120,1,13,3,0,0,137,0,0
2023,Sudeste,3,São Paulo,SP,35,Botucatu,3507506,0,Bauru,4,Botucatu,23,3,2,5,0,0,INSTITUICAO TOLEDO DE ENSINO,700,2328,FACULDADE ITEANA DE BOTUCATU,FITB,Avenida Alcides Cagliari,2.601,-,Jardim Evelyn,18606855.0,23,0,0,5,1,4,4,3,1,0,0,0,2,1,2,1,0,1,1,1,1,1,1,34,2430,47,47,14,33,0,0,8,23,16,2,0,2,6,39,1,1,6,12,12,8,2,5,47,0,0,0,0,0,47,0,0
