id,titulo
7ad9c1cd-6b22-4066-899a-788c27baa128,"Administração - Servidores com cargo de direção, função gratificada e função de coordenador de curso da UFMS"
89b82a3b-c3b5-4a23-ad12-04fd3162b8fa,Administração - Vagas para concurso servidores da UFMS
bc0a883c-80fe-444d-9f7e-f8105843960b,Afastamento de servidores
c420cc21-6511-4c0e-98f1-f8747424bb47,Afastamentos
11f8325e-810f-49de-9c0d-f7a5811f7c5f,Afastamentos e Licenças
73c279f9-2505-4c83-bc28-d9a80bb2c966,Agenda Ambiental na Administração Pública - A3P
a5670faf-20e1-4af1-bfa2-6c6f7ab5654e,Agenda de Autoridades - Legado
6038ca69-4785-4b6a-bb2f-e9f630050aaa,Agenda do Reitor
2e06c85e-0352-4fa2-a9b6-2fbb7105394e,Agência de Navegação - DUV (Porto Sem Papel)
b63062d2-bd72-428c-a86a-259b63fe8e39,Alimentação Escolar
e3c5722b-3777-434b-9756-6b3d5b6bd833,Almoxarifado
cd435a5f-e2e0-4458-9974-46ff178965b6,Alunado do Cefores
780d43b5-92b1-478a-899a-4038535bef39,Alunado dos cursos de graduação
f50d35b6-dc9e-4723-99cc-cd72a213909f,Alunado dos programas de pós-graduação
6ad6e3b6-af40-4846-9209-3544e6308b44,Alunos
362d6ec7-02a6-4cf6-9f75-ea91e06eef27,Alunos Bolsistas da Graduação
6e5b40af-06e9-43f0-8f5e-a4a7b15a4d6a,Alunos Bolsistas de Extensão Universitária
65868f6a-ded8-43a6-860e-7003051690c0,Alunos Bolsistas do Programa de Residência Pedagógica
48b98c0a-7f93-45f6-8af5-968d9d8b0c46,Alunos Concluídos
9b55f499-26af-4fc7-853e-b1cfc2e73d4a,Alunos Concluídos da Graduação
36d814e1-baa0-466c-86d8-73714c076755,Alunos Ingressantes
6e10ca5e-0a6a-4a40-abf2-0f53680c5254,Alunos Ingressantes na Graduação
bba33790-8004-420b-8347-4dec62831fbd,Alunos Trancados
bc58ac80-c140-41cb-b9d8-d4257e7249be,Alunos Vinculados
cdc7f727-f02e-4bb9-a5a9-591fecbb2524,Alunos bolsistas do Programa Institucional de Bolsas de Iniciação à Docência - PIBID
2e995c7e-9479-445b-a585-2010bdfbec10,Alunos bolsistas dos programas de pós-graduação
fdfaa9df-da14-4825-a733-ae0c05ab3a2f,Alunos bolsistas e voluntários do Programa de Educação Tutorial - PET
6c042d73-3500-4b3c-9a50-136c1a2f325f,Alunos com deficiência
012c96ea-64df-4acf-bce8-470b6757652e,Alunos da Graduação em Atividade de Estágio na Instituição
6b7c7c38-587a-436b-a7b2-4e3ca59d1ca8,Alunos da Instituição
240faf24-e1fd-46df-981f-10e237b4c731,Alunos da pós-graduação lato sensu
f9191fe7-236a-4fe2-89e0-b338cacf8348,Alunos da pós-graduação stricto sensu
0b6abc87-391b-4919-bf3c-8bbf048cca69,Alunos da residência multiprofissional e uniprofissional em saúde
d7240667-e7b0-41ee-b65a-5b87c810e85a,Alunos da residência multiprofissional e uniprofissional em saúde por especialidade HE-UFPEL
e039ef9d-c593-4c87-98f0-ba98113fdd83,Alunos da residência médica HE-UFPEL
12aa08bb-1595-416d-86e4-1532adba5b3b,Alunos de Iniciação Científica
3827fba2-f5d0-49b9-883b-bc18d1272076,Alunos de graduação UFRR
663837e9-134c-4ff1-ad8f-a58441c6efcb,Alunos de graduação bolsistas e voluntários do Programa de Monitoria
785a3d2d-6a11-4ccf-bd4e-0328dbcea24a,Alunos de pós-graduação UFRR
49e58707-f436-4b49-bcc4-0964fb261f11,Alunos do ensino técnico UFRR
dfc88df8-a4d2-4d8d-8ae3-c87b8ccac78c,Alunos do estágio curricular HE-UFPEL
e6e27006-4691-4700-b850-c8acbd28c116,Alunos por Cidade de Origem
0db5198f-7573-4c04-98df-29c7dae4eeac,Alvarás de Localização e Funcionamento Emitidos
fdb7d7bf-8bd4-4f70-a3b3-03c8b35105ce,Amostras de Rochas e Fluidos
163f0c7c-35db-4601-a2d9-b816a3691520,Andamento de Obras
8a018a8f-0d01-4702-8103-467937140068,Andamento de processos (SEI)
2411588b-26d1-4130-83c1-b80e458755f1,Andamento dos processos de Tomada de Contas Especial
8b1649b3-4a3b-4116-9764-3354ae27537f,Antropização dos Biomas Extra-Amazônicos
d2c5015f-5353-45b7-97d9-9575e22b3f80,Anuário Estatístico 2018
ef0ceb2e-a849-423a-bc67-e33039d9771d,Anuário Estatístico 2019
a316aeee-6d00-4f3d-b682-40573b17b18e,Anuário Estatístico 2020
a91108a2-58aa-44ad-b177-151a5c9204fe,Anuário Estatístico 2021
eca80980-0a41-4287-a665-eac7ca386587,Anuário Estatístico 2022
ed846a6e-8228-43ba-871e-ac2143ad26b4,Anuário Estatístico 2023
de3a8ad0-0392-441c-815a-db4d50535849,Anuário Estatístico 2024
69390370-31ff-42e8-9c7f-c6118f0a5842,Anuário Mineral Brasileiro (AMB)
4541eed6-6551-41c4-bd2c-71d362967208,Aposentados
d8a1cfa5-3238-492d-82eb-5407d572c900,Aprovados no Sisu e PAS com pontuação e tipo de cota
f85e1822-ae50-4ab5-ae2a-798ba7629568,Aprovações e Recomendações do Comitê Interministerial de Governança - CIG
2dc9e013-a915-48d4-a06d-0a64b73ed7a5,Aproveitamento de concursos
55c19155-8704-4274-88f5-3047ac9c7835,"Aquisição, Processamento e Estudo de Dados"
55e94e08-68a0-4307-b2ec-b7fa67754036,Arranjos Produtivos Locais (APLs)
b3a0ec14-5f4b-4062-bb39-88350d9d6dd7,Arrecadação
cfa48392-f200-492a-b37e-7b5246941c2e,Arrecadação ISSQN
bbb26a81-64ca-456b-962a-8d7f9db2e09e,Arrecadação Mensal do Município - Receitas
d14406f1-ccd5-4984-b139-825947c6fff3,"Arrecadação e Notas fiscais emitidas - segmento bares, lanchonetes e restaurantes em Maceió - Ano 2016"
3fbbe7cc-586e-401d-a531-47f8375f2984,Articulação Planta de 1942
0b1b75b8-f9c4-41c3-87c0-bf03cede34bb,Articulação Planta de 1953
62d17b29-f70c-4e70-9c1c-f3235218b629,Assinaturas Digitais
b0a17e8e-e0ad-428e-a3b3-991eaf1d5419,Assistência Estudantil
4b1d8cf7-6a4b-4e36-ba44-88db08ee1472,Assistência Estudantil
06b1b13f-2dab-4bfc-88e1-8a29071056c5,Assistência Estudantil
f7a5fed3-a521-4847-adaf-11cc8b258ff9,Assistência Estudantil
38dc6e76-f746-4edf-bf72-69312214a2a9,Assistência Estudantil
fe8e388a-c603-4245-99f3-29677c55cdf1,Assistência Estudantil
29b0ff79-4ab4-4361-9cc5-6da0374129d8,Assistência Estudantil
e96d60e3-077a-4957-a46c-b95bdb024d53,Assistência Estudantil
6dc3aef4-b039-4f65-9492-f109a08c8c8f,Assistência estudantil - UFOB
2b44cb79-cd12-4add-a7a6-025319861d50,Assistência estudantil UFTM
873b81ab-a4dd-4be5-8e79-681f2c83892c,Atas das Reuniões Ordinárias do Comitê do Conselho Brasil - OCDE
31192079-4060-48fe-bdfb-8517db19fbeb,Atas das Reuniões Ordinárias do Conselho Brasil - OCDE
b3520fe8-71c5-498f-8ee6-c22dd5c946a3,Atas das Reuniões do Conselho do Programa Nacional de Incentivo ao Voluntariado
f4798960-f8f1-40d5-8722-12c035592879,Atas das reuniões
6e9e031f-fd6f-4642-a827-18bcdd3961ff,Atas de registro de preço
8be633f9-d985-4bad-a66e-e75953c4a1ee,Atendimento  ambulatorial - Hospital Universitário de Brasília (HUB-UnB)
a8eabbee-cca2-4b0c-903b-a12a02d15ca5,Atendimento Ambulatorial HU-FURG
f896763d-e013-4623-80ef-fe3910ac22ba,Atendimento Médico Mecânico
f0773920-9847-46cb-9bc0-dde68761c573,Atendimento a pedidos de conexões MMGD - Mini e Microgeração distribuída - pós Lei 14300
90a37766-8d8a-4b12-afac-e5c436126afe,Atendimento ambulatorial HE-UFPEL
049fcda2-96af-456f-a38b-4f2507c19e69,Atendimento ao Turista - Brasil Braços Abertos - Instituições/Entidades que apoiam o curso
2a6ba223-fefc-4f0d-83a6-08eba7a4581f,Atendimento ao Turista - Brasil Braços Abertos - Pessoas Qualificadas.
af27170e-5f30-43da-a9f7-dc56df39ad86,Atendimento cirúrgico - Hospital Universitário de Brasília (HUB-UnB)
3784cdd3-e5f2-4b9e-81b2-5c1ae80244ea,Atendimento de Diagnóstico por Imagem HU-FURG
f421a6e1-8b52-4301-9ff6-eb4fe3c590bd,Atendimento de Laboratório de Análises Clínicas HU-FURG
de0bddd4-b4fc-43d9-bc2f-f13cf1f967d0,Atendimento de diagnóstico por  imagem - Hospital Universitário de Brasília (HUB-UnB)
8cf42c31-3e0d-4de3-9167-c1c758ea2d80,Atendimento de diagnóstico por imagem
dff28948-30be-4810-9942-dbc10b1989c4,Atendimento de diagnóstico por imagem HE-UFPEL
fdad45c4-3a94-4866-b104-eff7c0fcd4b8,Atendimento de laboratório de análises  clínicas - Hospital Universitário de Brasília (HUB-UnB)
708c95a6-1cca-482d-adff-0249b0274c3b,Atendimento de laboratório de análises clínicas
560cbdec-0182-40e0-8d23-4a7f92ee6691,Atendimento de laboratório de análises clínicas HE-UFPEL
0d95abf1-ba43-440e-9abe-0a1a8f9052e3,Atendimentos Ambulatoriais Realizados
58f997bf-96e7-4a3e-a8f7-937000f939c7,Atendimentos de Consumidores nos Procons (Sindec)
8da208ff-cf38-4774-a426-6e279672f8c1,Atendimentos e Consultas (ambulatório e emergência)
a0af24b1-45ec-4d77-b532-5e129f8abbc7,Atendimentos em reabilitação básica
7153e56f-2fd5-4edd-9b25-e90be796aa2c,Atendimentos na área da Saúde
ecb88b71-7275-431c-91a0-4444687abed6,Atendimentos realizados por projetos de Educação Ambiental da FJZB
3449df83-944b-4672-835d-d3e4a7bf7f48,Atividade Econômica
78939757-1ca1-441e-b86b-53480bdf89d9,Atividades Econômicas Autônomos
c5a1a64d-519e-4835-aa34-53527d268fc1,Atividades de Ensino
285b9d77-5f0e-4cc0-84de-a046eb4ab1d3,Atividades de Extensão
6c9a20fd-1936-4093-98e9-104d1c82c071,Atividades de Extensão
44dfd4c5-eb56-4d9e-8ab1-a3b9207f92d2,Atividades de Extensão
341f64fc-f550-4083-93dc-722bbed5f16a,Atividades de Pesquisa
e16c4311-6897-48ad-b7ac-9954dc06a81e,Atividades de Relações Internacionais
e5844146-627c-4689-83ba-849478627148,Atividades em Missão de Paz do MD no Líbano
bef4f07e-4597-41e3-97ff-1475bc706bf9,Atlas da Vulnerabilidade Social
82e8866f-d27e-4f68-a3ae-6c0c403773a7,Atlas do Desenvolvimento Humano no Brasil
2c39a7ea-315e-4c8d-8003-cd5a791e2448,Atos normativos da Enap
65519013-f0fc-4434-ac69-d65b70dfd548,Atrativos Turísticos
b29ef692-028c-4a80-8c53-7155fa2fbb79,Auditoria
8786fe91-98c7-4609-a49d-481b9286b9fa,Auditórios
91c188da-9bf9-4381-8b18-5e091a7c224b,"Autorizações de Tráfego de Terra, Entulho e Material Orgânico Emitidas"
5b58ec64-c775-4fb1-8dfb-5631b9be5728,Autos de Infração por Modal
ef84dd96-3f95-4776-af89-70d9b8cef0a8,Autos de Infrações Ambientais lavrados pela Agência de Fiscalização de Fortaleza - AGEFIS
44eb0f33-fab1-4b91-8502-bb4aea3b99b3,Auxílio Estudantil
6b8ac0bb-def3-467c-b338-f6784897db58,Auxílio Financeiro Discentes
90318b8f-c150-4f6c-a779-c7228205869e,Auxílio Gás dos Brasileiros
0b592eaa-2b46-4ee7-b2f9-366e9d6cb9c9,Auxílio Reconstrução - Rio Grande do Sul
435520a7-03c1-44ee-8f6b-9e58f47396f4,Auxílio estudantil
a66b4940-ed4c-4a9f-beb8-5c1c119879dc,Auxílios financeiros da Assistência Estudantil - PROMISAES
c2dcb862-531f-4aad-b6ce-3b60f9416bde,Avaliação Educacional
42130363-41bc-4480-8512-0a022d0b7f55,Avaliação Institucional
d8b1af5c-135c-43e7-9d92-a73c8a93240f,Avaliação Institucional UFV
5787d0b9-f36b-4361-bdb9-517e98017e50,Avaliação de Docência
06bf85bd-99e8-47b0-95ff-16ff8efe61be,Avaliação de alunos da pós-graduação
5447258b-eb1d-4368-8a3c-ade698eb53c0,Avaliação do risco de extinção de árvores nativas do Brasil (2018 - junho 2020)
e1385073-c3e5-4c16-8354-7f625350330a,AÇÕES DE EXTENSÃO CADASTRADAS
52e91c4f-8f2d-44c1-8643-69fec02eca03,Ação de Distribuição de Alimentos (ADA)
72e44958-3024-4034-b9e1-5764683c4143,Ações Culturais
f3a1ee23-cd07-454e-95b1-611886827fbb,Ações de Extensão
9a61fe0c-01ca-4ab4-86ea-9b2bb4d451c5,Ações de Extensão
3290455e-555d-4d84-a3dc-7db91ad92ebf,Ações de Extensão
814ae71e-1027-4d55-b184-3fad186a6621,Ações de Extensão PRX
523d278a-df03-4071-ac04-7207237f5fd5,Ações de Extensão Realizadas
f2789c97-f81c-4cac-b1dd-d7da0d487e46,Ações de extensão universitária registradas na Pró-Reitoria de Extensão Universitária - PROEXT
2e96cac0-7df5-4d3d-a61a-b97e87e9c7d3,"Ações de extensão: Programas, projetos e ações permanentes"
d447ea92-0b84-46da-820d-0454c390c3a7,"Ações inclusivas, afirmativas e de diversidade para discentes"
f1da82a8-c127-4dfd-9f6e-a3017b73fe06,BALANÇO FISCAL
07bf74d7-f8cb-429f-a850-fbb832b0bfe7,BALANÇO ORÇAMENTÁRIO
bens_moveis,BENS MÓVEIS
d7bce701-24e6-4b92-a537-55a9be660741,BH Resolve
6996e096-0f07-47db-8651-72adfb1843f7,BNAFAR - Posição de Estoque
53423ebe-c816-46ea-b778-796ff6de00b2,BOLSISTAS DE EXTENSÃO
2127e5c4-224b-4d6e-8822-86c961694de4,BPC por município pagador
e8d61809-9675-4c3a-9972-d11f6217bdfa,BPEq - Banco de Professor Equivalente
00e8b187-87a7-4100-8ee8-4ac200f9ee45,BPR - Banco de Preços de Referência (linha de transmissão)
7981fa38-867f-4447-8bf0-775939705a6c,BPR - Banco de Preços de Referência (subestação)
68603b21-c55e-47ce-a8ba-6368efd14ea8,Bacen - Relatórios de Risco
d1432f63-6515-43ec-a6bb-ba548af00026,Bairro Oficial
d890ccf6-d424-43bd-b513-b492306a0957,Bairro Popular
821e5f37-0be4-4a5e-948c-59d95e538773,Bairros de Alagoas
aa138ff1-7229-4101-ba1c-399eee7de8be,Baixas de Construção Concedidas
3c640a44-dffb-4088-b340-d1183afccd55,Balancetes (IFs e Conglomerados)
690b0f54-ab54-4c95-af11-2207be5df941,Balanço Aduaneiro
7a682790-d194-46a2-8f00-8afa66e7b4d6,Balanço Patrimonial do BNDES
04f08f8f-09fd-48f4-a853-c3c6368f20be,Banco de Preço em Saúde - BPS
a53fcedf-cebc-45ce-bd0b-5390de56f642,Banco de Professor Equivalente (BPE)
2f6c349f-5158-4496-9d14-8d92bd840b5c,Banco de Professor-Equivalente - UFU
7d87026c-4634-4366-a6c2-9895e763d1d8,"Banco de TCC, monografias, teses e dissertações"
7f43a020-6dc5-44b8-80b4-d97eaa94436c,Bandeiras Tarifárias
5d144c66-40ea-4738-afb4-e660f6e7fc55,Base Cartográfica Contínua do Brasil - Limites  -  1:1.000.000 bcim_lim_municipio
f9fe15a5-a959-45e0-adc3-90680d6309ca,Base de Dados SIEX - UFU
bf9959ee-3fe0-4d74-b70e-b707901136fc,Base de Dados de Ato de Concentração
f7f72733-6d34-4909-be1e-cafcde5001b8,Base de Dados de Controle de Decisão do Tribunal Administrativo
6960e154-37c1-42a8-bd2e-98f2f7e4f109,Base de Dados de Despesas com Capacitação de Servidores
0a3355d6-ca61-4a53-b588-0ce32b6f8518,Base de Dados do PG.Cade
bfc7adaf-5a3d-4860-a855-055ed539f856,Base de Dados sobre sustentabilidade - UFU
e5052f87-74de-444b-a1a2-d3ea7fc48f5d,Base de dados das árvores matrizes marcadas em Unidades de Conservação do estado do Rio de Janeiro
952fcadf-219a-4bae-bbe6-207df2e5f139,Base de dados de captura da espécie Tainha
e9b27c5f-5cbd-43c6-922d-a60eefdf30cf,Base de dados dos Registros de Pescadores e Pescadoras Profissionais
457108cf-dbc4-40be-8545-8dcf275550dc,"Base de dados dos autorizatários, motoristas e veiculos do servico de táxi do DF"
a48148c0-e28c-421e-b460-0c66a334107b,Bases de dados estatísticos do comércio exterior brasileiro de bens
b5310de9-72d7-48d7-b72a-bb17360f08b7,Bem Cultural Imaterial
704838d5-4564-498c-9aa6-ff9aba903c41,Bem Cultural Imóvel
2a4bdcd6-3474-4446-85c9-64afb15defff,Bem Cultural Integrado
851f0ebe-fc08-47c0-8ff7-ce1ae28e25de,Bem Cultural Móvel
d29ca383-ca24-482b-88af-480b53869168,Bem Cultural Natural
0470adbb-7788-4aa8-92a6-ae9f9906ff04,Bem Cultural Urbanístico
a7191647-b187-4893-b20a-8954d57ff89c,Beneficiários da Conta de Desenvolvimento Energético - CDE
