NU_INSCRICAO,NU_ANO,TP_FAIXA_ETARIA,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_NACIONALIDADE,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ESCOLA,TP_ENSINO,IN_TREINEIRO,CO_MUNICIPIO_ESC,NO_MUNICIPIO_ESC,CO_UF_ESC,SG_UF_ESC,TP_DEPENDENCIA_ADM_ESC,TP_LOCALIZACAO_ESC,TP_SIT_FUNC_ESC,CO_MUNICIPIO_PROVA,NO_MUNICIPIO_PROVA,CO_UF_PROVA,SG_UF_PROVA,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,CO_PROVA_CN,CO_PROVA_CH,CO_PROVA_LC,CO_PROVA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TX_RESPOSTAS_CN,TX_RESPOSTAS_CH,TX_RESPOSTAS_LC,TX_RESPOSTAS_MT,TP_LINGUA,TX_GABARITO_CN,TX_GABARITO_CH,TX_GABARITO_LC,TX_GABARITO_MT,TP_STATUS_REDACAO,NU_NOTA_COMP1,NU_NOTA_COMP2,NU_NOTA_COMP3,NU_NOTA_COMP4,NU_NOTA_COMP5,NU_NOTA_REDACAO,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023,Q024,Q025
210058941506,2023,11,F,1,3,1,1,12,1,,0,,,,,,,,3143302,Montes Claros,31,MG,0,0,0,0,,,,,,,,,,,,,0,,,,,,,,,,,,F,E,D,D,4,J,A,C,E,B,B,B,A,B,A,A,A,A,B,B,A,D,A,B,B
210060227216,2023,10,F,1,3,1,1,4,1,,0,,,,,,,,3305554,Seropédica,33,RJ,1,1,1,1,1223.0,1194.0,1203.0,1213.0,467.3,471.8,463.6,434.4,CBADDAEBCBEDCEEDADCADCBAEDCBCDEDDCDDBAEEBECED,ABCCEADAAEEDCABAADDADBECBAEAADCBCDBDBCEBCDCBE,EAABADABECBEBCCADBDDEBDADCDAEDBABBCBBEDBEABDD,EDDABCDADEECEDBAADCEACDEBCADAEBCDACEBBCBEDCCE,1,CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD,ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE,BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC,EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB,1.0,120.0,120.0,100.0,120.0,40.0,500.0,B,E,F,B,2,B,A,B,C,A,A,B,A,A,A,A,A,A,B,A,A,B,A,A,B
210059993984,2023,8,M,1,3,1,1,4,1,,0,,,,,,,,1501808,Breves,15,PA,1,1,1,1,1222.0,1191.0,1201.0,1212.0,404.9,467.8,468.9,403.2,EECADBBEADCAEBBDDCCDEEAABBECECDDABDCEDACEBBBA,DAEEAADBDABEAEDEAECBABCEAEBADDCEEABAEAABAADEA,CEDAADAAEEDBDBDDACDEAEAAEDBCDBABCCADDACAECAAE,ABAEBEBCDDEBDAEAADACEDEEBDBABEACBDBBDDAACDBEE,1,CAAADCCCCDDDABDCACDBEEEDCEDAEECCDBEABDBABBAEB,CDAEECABAACEAADECBDAABCDCABADCDEABAABCDDEBADB,BBDABAAEBADACEEDCCDBADBDEDCCEBCACEACAACAACACBBEAAE,DCECACCBDECBEEABEABDDAADDABBBCCBCCDDAEBDADEEB,1.0,80.0,120.0,120.0,120.0,40.0,480.0,B,F,D,B,6,A,A,B,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A
210059980957,2023,14,F,1,3,1,1,17,1,,0,,,,,,,,1501402,Belém,15,PA,0,0,0,0,,,,,,,,,,,,,1,,,,,,,,,,,,B,B,A,A,1,A,A,B,D,A,A,B,A,B,A,A,A,A,B,A,A,B,A,A,B
210059982348,2023,11,F,1,3,1,1,8,1,,0,,,,,,,,3200102,Afonso Cláudio,32,ES,0,0,0,0,,,,,,,,,,,,,0,,,,,,,,,,,,C,E,C,C,3,B,A,B,C,A,B,B,A,A,A,A,A,A,B,A,A,D,A,A,B
210059855126,2023,6,F,1,3,1,1,4,1,,0,,,,,,,,2930154,Serra do Ramalho,29,BA,0,0,0,0,,,,,,,,,,,,,0,,,,,,,,,,,,E,E,A,A,6,B,A,B,D,A,B,B,A,A,A,A,A,A,B,A,A,E,A,A,B
210059855129,2023,3,F,1,1,1,2,0,2,1.0,0,4316006.0,Rolante,43.0,RS,1.0,1.0,1.0,4314050,Parobé,43,RS,1,1,1,1,1222.0,1191.0,1201.0,1212.0,443.9,500.8,512.7,409.1,ABBBDBEDECAAECCDAEDECACDEADCADABDBDDCBBDBDABC,CDEABCDECAEDAADEAACAABBDBCBCDBDECEAAAECBBBEBD,EAEBACBCAEDAABBCACDEBDAEDCBDCBEEABADCACCBEAAD,EBDDCBACCBEADBDCBECBCABDCBDACBDBCBCDEEAEBDCCD,1,CAAADCCCCDDDABDCACDBEEEDCEDAEECCDBEABDBABBAEB,CDAEECABAACEAADECBDAABCDCABADCDEABAABCDDEBADB,BBDABAAEBADACEEDCCDBADBDEDCCEBCACEACAACAACACBBEAAE,DCECACCBDECBEEABEABDDAADDABBBCCBCCDDAEBDADEEB,1.0,120.0,200.0,120.0,140.0,140.0,720.0,H,G,F,D,1,B,A,B,B,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,B
210059589802,2023,13,F,1,3,1,1,17,1,,0,,,,,,,,2211001,Teresina,22,PI,0,0,0,0,,,,,,,,,,,,,1,,,,,,,,,,,,E,E,D,D,3,B,A,B,D,A,A,B,A,B,A,A,A,A,C,A,A,D,A,B,B
210060373837,2023,7,F,1,1,1,1,4,1,,0,,,,,,,,2408102,Natal,24,RN,1,1,1,1,1221.0,1193.0,1204.0,1211.0,534.2,360.7,531.4,477.1,EBEEECEBAEAEAEEAECAEEEDEEDCDCECECCEDDCEDABECB,AEEDBBBDABACDABADBAEABDAABBADBCADBDCACCAADADE,AEBADCBECAAACBAAEAABDBCCDEEEDBEDAECBBEDBACAED,CDAECDCECAAECCBAAEEB.BAD.DCBD.BACCECBAECBADEC,1,DBEABDABDCACDBECDDDBCAAABBACCCADEBECCCEDAEEED,ACEEABAADCDAADEABCDABCDCABCBDADEBAECABADBCDAE,DBABBAEBAAAACDACDEDAACADBADBCCEACCCEAAECBBEBCACEED,BCCDEEABCBEDCEABBEBDABDDADDADECAADDCCBEBEABCC,1.0,160.0,180.0,160.0,180.0,160.0,840.0,B,D,C,B,2,B,A,B,B,A,A,B,A,A,A,B,A,A,B,A,A,C,A,B,B
210059589792,2023,11,F,1,3,1,1,12,1,,0,,,,,,,,5300108,Brasília,53,DF,0,0,0,0,,,,,,,,,,,,,1,,,,,,,,,,,,E,E,B,B,2,B,A,B,B,A,A,B,A,A,A,B,A,A,B,A,A,B,A,A,B
210059982320,2023,9,F,1,1,1,1,7,1,,0,,,,,,,,2507507,João Pessoa,25,PB,0,0,0,0,,,,,,,,,,,,,1,,,,,,,,,,,,H,E,F,B,1,B,A,B,B,A,A,B,B,A,A,A,A,A,B,A,A,B,A,A,B
210058575148,2023,2,F,1,3,1,3,0,1,,1,,,,,,,,2931350,Teixeira de Freitas,29,BA,1,1,1,1,1224.0,1192.0,1202.0,1214.0,500.1,575.0,539.6,460.2,BEBAEABAABBEEEDDEDEEBDCAAAACCBCEBEDCCCEEDECBA,DAAADEEDCBCABDBBEBEBBDECACADEAACDCEADCBDDABCD,ABAECAAEEEDBECBCABEADAADAAADCCECDBBDAADDEDDAD,EDCBADDEDADDADBBDBCBBBAAEEDAACAECEBCCCDDBDECC,1,CDDDABBABDBEABDECCEEEDCEDAEBABDCCAACCCADACDBE,DBAADEADCDCABABCDDEBAEABAECABAACECDAECBDAABCD,BBBDAABAEACCEEEDEACBCACAACAACAAAECBBEDBCCADBDEDDAC,EBDADDAEBEACBEDCECCBEABCADEBCCBCCDEBDDAABBADD,1.0,160.0,200.0,160.0,180.0,160.0,860.0,E,D,A,B,5,E,A,B,D,B,B,B,A,B,A,A,A,A,B,A,A,D,A,B,B
210059540808,2023,7,F,1,3,1,1,0,1,,0,,,,,,,,2313401,Tianguá,23,CE,1,1,1,1,1223.0,1194.0,1203.0,1213.0,0.0,314.7,450.4,0.0,.............................................,EAEBBDAACACABEBBAEEADABAAACCBBBCBABCCBABEABCD,DAACCCAEBBBEBAEBAEEADBBBCDACEBBACCADAEBAABDBC,.............................................,1,CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD,ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE,BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC,EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB,1.0,100.0,100.0,80.0,60.0,80.0,420.0,H,E,F,F,1,B,A,B,B,A,A,B,A,A,A,A,A,A,B,A,A,B,A,A,A
210059974502,2023,11,M,1,1,1,1,7,1,,0,,,,,,,,3113404,Caratinga,31,MG,1,1,1,1,1223.0,1194.0,1203.0,1213.0,506.4,603.5,504.4,468.3,ECDABDCCBBBACEDDBABEECADBDABAAECDDDACCDDBEEBB,ABCDCBDACDAEACDDCACCDAEACADAAAEEADCABADCDABDE,CEBBDAAECCEEACEAECBBACBBABABDDCABAABBAEDAAAAD,EDDBEDEBDCDACDCCBDCACBCCCBDCDBBBEDCEADDDBDCAA,0,CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD,ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE,BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC,EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB,1.0,120.0,200.0,140.0,180.0,160.0,800.0,B,B,A,A,3,C,A,B,B,A,B,B,A,A,A,A,A,A,B,A,A,B,A,A,B
210061103958,2023,5,F,1,2,2,1,2,1,,0,,,,,,,,5103403,Cuiabá,51,MT,0,0,0,0,,,,,,,,,,,,,1,,,,,,,,,,,,B,E,B,D,4,G,A,C,D,B,A,B,B,B,B,B,A,A,D,A,A,D,A,B,B
210058061541,2023,3,F,1,2,1,1,1,1,,0,,,,,,,,2929305,São Gonçalo dos Campos,29,BA,1,1,1,1,1224.0,1192.0,1202.0,1214.0,583.3,657.0,596.2,700.8,CEBACBBEACBEEBDEADEEABCBDAACACBDCEACBAEEDBBED,DAAADEADCDCCBEBEEDEBBAABAECDBEACDCDAECBAAABCD,BEDDACDEAEDCAEBAACABABACAEAECBBEDDCEADBDCDCAC,CBDAADCEBEDCABDDECCCEABCDDDCBCACCDEBBCDDAEDBC,0,CDDDABBABDBEABDECCEEEDCEDAEBABDCCAACCCADACDBE,DBAADEADCDCABABCDDEBAEABAECABAACECDAECBDAABCD,BBBDAABAEACCEEEDEACBCACAACAACAAAECBBEDBCCADBDEDDAC,EBDADDAEBEACBEDCECCBEABCADEBCCBCCDEBDDAABBADD,1.0,160.0,200.0,180.0,200.0,180.0,920.0,E,E,D,C,4,H,A,D,D,B,B,B,A,B,A,B,A,A,D,B,A,E,A,B,B
210059982357,2023,10,M,1,1,1,1,8,1,,0,,,,,,,,2307650,Maracanaú,23,CE,0,0,0,0,,,,,,,,,,,,,0,,,,,,,,,,,,C,C,C,B,1,B,A,B,A,A,A,A,A,B,A,A,A,A,A,A,A,B,A,B,B
210060441005,2023,9,M,1,2,1,1,5,1,,0,,,,,,,,2707701,Rio Largo,27,AL,0,0,0,0,,,,,,,,,,,,,1,,,,,,,,,,,,E,C,D,B,7,C,A,B,C,A,A,B,A,B,A,B,A,A,B,A,A,D,A,A,B
210058061546,2023,3,F,1,1,1,1,1,1,,0,,,,,,,,2507507,João Pessoa,25,PB,1,1,1,1,1222.0,1191.0,1201.0,1212.0,542.0,546.4,533.5,444.8,CECADADACECEBCADBEDEDEDDCDEAEECDDBDEEACBEBDBA,DEAADBACACEEAADECADBEBCDCEBADCDEEAADCCBBDBBDB,BDDBBAEAAEBCCDBAEDDEDABACBDCAACDAAAACADCBEAAE,CCDDBEBADDBCDBDCDACCDECACBCEABBEDDDBCDBEAECEC,1,CAAADCCCCDDDABDCACDBEEEDCEDAEECCDBEABDBABBAEB,CDAEECABAACEAADECBDAABCDCABADCDEABAABCDDEBADB,BBDABAAEBADACEEDCCDBADBDEDCCEBCACEACAACAACACBBEAAE,DCECACCBDECBEEABEABDDAADDABBBCCBCCDDAEBDADEEB,1.0,140.0,140.0,100.0,120.0,100.0,600.0,C,G,C,A,4,C,A,C,C,A,B,B,B,B,A,A,A,A,B,A,A,C,A,B,B
210059982331,2023,11,F,1,3,1,1,6,1,,0,,,,,,,,1600600,Santana,16,AP,1,1,1,1,1223.0,1194.0,1203.0,1213.0,393.0,501.7,511.6,349.0,CBECCACDDBEBBEBCEABBBDADEBAECCDBEBDBCCBEDEBBC,ABBDCCCBCDBECBBCADEBDDECAAACBDDEDDCCEADCCAEDC,AABACCAECBBEAECBBBCAECAEACBAECDBBBDCBAEDCACBC,CAEADEADBDDCEDCBAECCDBADBBDBEBECBBDABDBDCBDBD,1,CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD,ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE,BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC,EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB,1.0,100.0,120.0,120.0,120.0,60.0,520.0,C,D,A,A,1,A,A,B,B,A,A,B,A,A,A,A,A,A,B,A,A,B,A,A,A
210060376442,2023,3,F,1,1,1,1,1,1,,0,,,,,,,,2903201,Barreiras,29,BA,0,0,0,0,,,,,,,,,,,,,0,,,,,,,,,,,,C,C,A,B,4,C,A,B,C,B,B,B,B,B,A,A,A,A,B,A,A,D,A,A,B
210059246996,2023,3,F,1,1,1,2,0,2,1.0,0,,,,,,,,3204559,Santa Maria de Jetibá,32,ES,1,1,1,1,1221.0,1193.0,1204.0,1211.0,505.1,567.3,548.1,541.8,EBEBBCBCCDBAEBCADBAABEDABBADCEAEBBEEDCDBCDBAC,ACEEABDECCDADDEACCEABCCEEBCDAADABDAAEEBDACDBE,ADBABCAADBCDDABEEADBBBBCEAAECCEAABEBBEBCEDAED,CCBDCEBDEBEBDEACAEECDCBCADEAEBDBACACCCEECACBC,1,DBEABDABDCACDBECDDDBCAAABBACCCADEBECCCEDAEEED,ACEEABAADCDAADEABCDABCDCABCBDADEBAECABADBCDAE,DBABBAEBAAAACDACDEDAACADBADBCCEACCCEAAECBBEBCACEED,BCCDEEABCBEDCEABBEBDABDDADDADECAADDCCBEBEABCC,1.0,160.0,200.0,160.0,200.0,200.0,920.0,B,B,F,B,3,C,A,B,D,A,B,B,B,A,A,B,A,A,B,B,A,D,A,B,B
210060811467,2023,8,F,1,3,1,1,6,1,,0,,,,,,,,2800308,Aracaju,28,SE,1,1,1,1,1222.0,1191.0,1201.0,1212.0,512.7,518.2,541.3,493.0,ACBDECBAADCBBDCABEDEABDCCBEAEEADDBEBDCAEECBEA,CEAEECACDABADCDEBACBADCBCADEDCDCBABACCBDCADDB,AADEACEAADDCBBBADBDEDCAEBACCBDCABCAAEABDCBAAE,DBCAEEACDBACDCBDBEACBADABCEDBDACCEDADEDDADEEC,1,CAAADCCCCDDDABDCACDBEEEDCEDAEECCDBEABDBABBAEB,CDAEECABAACEAADECBDAABCDCABADCDEABAABCDDEBADB,BBDABAAEBADACEEDCCDBADBDEDCCEBCACEACAACAACACBBEAAE,DCECACCBDECBEEABEABDDAADDABBBCCBCCDDAEBDADEEB,1.0,120.0,120.0,120.0,120.0,120.0,600.0,D,D,C,A,1,B,A,B,B,A,A,B,A,A,A,A,A,A,B,A,A,B,A,A,B
210058061537,2023,4,M,1,3,1,1,1,1,,0,,,,,,,,2927408,Salvador,29,BA,1,1,1,1,1221.0,1193.0,1204.0,1211.0,542.5,554.1,535.2,638.2,DBBBDCECBCCBEBECAACDDEDAACCCDEEAACDDBCDDACDDB,ACDCEBBBACBEDDEABCAABCBCCBCBDADBBBDDDCADBBD.D,DBDBCCBADECDDDACDADBBCBCDBAECBECABDCBECAECADD,BCDDABCBCEADAEADBEACACBDDAEECBCACDDCBBEDCCADC,0,DBEABDABDCACDBECDDDBCAAABBACCCADEBECCCEDAEEED,ACEEABAADCDAADEABCDABCDCABCBDADEBAECABADBCDAE,DBABBAEBAAAACDACDEDAACADBADBCCEACCCEAAECBBEBCACEED,BCCDEEABCBEDCEABBEBDABDDADDADECAADDCCBEBEABCC,1.0,120.0,200.0,160.0,200.0,180.0,860.0,E,E,F,D,2,D,A,B,C,A,A,B,B,A,A,B,A,A,B,A,B,C,A,B,B
