Year,Town,Net Investment In Capital Assets,Unrestricted Net Position,Total Net Position,Change In Net Position,Nonspendable Fund Balance,Restricted Fund Balance,Committed Fund Balance,Assigned Fund Balance,Total Fund Balance,Unassigned Fund Balance,Unrestricted Fund Balance,Restatement Fund Balance Flag,Inter Gov Revenue,Tax Revenue,Total Revenue,Education,Annual Debt Service,Total Expenditures,Total Transfers In,Other Financing Sources,Total Trans To General Fund,Other Financing Uses,Operating Surplus Deficit Including Transactions,Previous Year Operating Surplus Def Including Transactions,Operating Surplus Deficit Including Sources and Uses,Special Or Extraordinary Items,Large Deficit Indicator Entprise Fund,Large Deficit Indicator Internal Service Fund,Regional School District (RSD) Debt,Town Bonded Long Term Debt,Total Bonded Long-Term Debt,Net Pension Liability,Current Year Adjusted Taxes Collectible,Current Year Taxes Collected,Property Tax Collection Rate (current Year),Total Adjusted Taxes Collectible,Total Taxes Collected,Overall Tot Tax Colleton Rate,Population,Area Limit,Net Grand List,EGL,RPA Identifier,Deficit Bonds,10-Year Scheduled Repayment Principal Amount,Total Net OPEB Liability
2019,HARTFORD,1007839000,-642000000,433393000,47482000,0,0,2933000,0,12585000,9652000,12585000,False,327441000,278967000,629947000,301665000,64335000,540088000,6949000,6949000,6949000,89107000,7701000,374000,7701000,0,0,-19910000,0,546496000,546496000,473726000,279414000,266420000,0.9535,326815000,269870000,0.8258,122105,17.38,4061916449,7430863343.0,Capitol,False,0,450070000
2019,DERBY,64682442,-46125402,18565613,4844162,0,0,0,0,-1794466,-1794466,-1794466,False,20411816,29003664,53019275,29350736,1764796,54328785,110000,12690000,110000,10630000,-11829510,-1120653,750490,0,0,0,0,17071254,17071254,8922826,28455192,27805094,0.9772,29588244,28216693,0.9536,12339,5.06,718832500,1118231607.0,Naugatuck Valley,False,0,30052648
2019,SHELTON,179707025,-19765325,159983200,-20740957,63293,0,119181,0,84068,-98406,20775,False,29990127,104332203,139461076,95784330,8584609,142086164,1107090,1107090,1107090,4992857,-6510855,-2812681,-6510855,0,0,-4166469,0,29805000,29805000,10535204,104026528,102944553,0.9896,105947771,103754937,0.9793,41129,30.63,4672360795,7292360723.0,Naugatuck Valley,False,0,0
2019,CANTON,76620103,5099212,82551535,2213851,38279,0,0,102500,7317504,7176725,7279225,False,7893238,34798780,43910272,29838787,2224144,41588832,111000,111000,111000,1611754,820686,298688,820686,0,0,0,0,16746009,16746009,6704870,34674815,34502543,0.995,35273691,34662419,0.9827,10254,24.59,1121766972,1552114127.0,Capitol,False,0,95966
2019,NORTH HAVEN,128522930,-115315014,16997982,630201,0,0,0,3512011,11581951,8069940,11581951,False,13225380,89005054,106449552,61608229,6654290,107618059,500000,500000,500000,0,-668507,-1654836,-668507,0,0,-390907,0,103123040,103123040,26633236,88332794,87154682,0.9867,90818115,87940513,0.9683,23683,20.84,2809698940,4162286379.0,South Central,False,0,75861459
2019,WILTON,100894291,25992138,126886429,-2851136,96183,0,0,7792747,23704072,15815142,23607889,False,8538006,122276140,133907791,88333071,11383603,131334890,464291,464291,464291,475000,2562192,871307,2562192,0,0,0,0,80370468,80370468,2510759,121971176,121031666,0.9923,124309166,121704331,0.979,18343,26.81,4339011944,6210325309.0,Western CT,False,0,0
2019,NEWINGTON,88861000,-23102000,66411000,6028000,0,0,1025000,5286000,25569000,19258000,25569000,False,21827000,102616000,126286000,77976000,1083000,118557000,149000,149000,149000,3854000,4024000,301000,4024000,0,0,0,0,13295000,13295000,48388000,101640000,100811000,0.9918,102950000,101586000,0.9868,30014,13.14,2623718787,4227649658.0,Capitol,False,0,18081000
2019,BOLTON,32269918,2856302,37907374,1164073,28623,0,182521,2946801,4060559,902614,4031936,False,3880725,17237177,21927392,14816928,1127864,21040002,0,0,0,539045,348345,606388,348345,0,0,0,0,10353148,10353148,0,17135786,16882599,0.9852,17363487,17054022,0.9822,4884,14.41,435016468,638184674.2,Capitol,False,0,1605695
2019,HEBRON,49214530,10051972,59598073,397098,0,0,0,641354,7196324,6554970,7196324,False,7674841,28839520,37499470,27529774,1056829,36361011,62563,62563,62563,1463890,-262868,-283569,-262868,0,0,0,5547006,4005985,9552991,0,28641368,28014926,0.9781,30654327,28523970,0.9305,9504,36.94,760786200,1163379076.0,Capitol,False,0,1485006
2019,SPRAGUE,21763057,-1644335,20340880,963769,3275,0,0,0,-819291,-822566,-822566,False,4504378,5662784,10611082,7582344,8191501,10456000,118871,118871,118871,9000,264953,-1225281,264953,0,0,0,0,8786208,8786208,0,5432764,5313669,0.9781,5577518,5404136,0.9689,2859,13.25,162305930,238467977.1,Southeastern CT,False,0,643679
