Year,Town,Net Investment In Capital Assets,Unrestricted Net Position,Total Net Position,Change In Net Position,Nonspendable Fund Balance,Restricted Fund Balance,Committed Fund Balance,Assigned Fund Balance,Total Fund Balance,Unassigned Fund Balance,Unrestricted Fund Balance,Restatement Fund Balance Flag,Inter Gov Revenue,Tax Revenue,Total Revenue,Education,Annual Debt Service,Total Expenditures,Total Transfers In,Other Financing Sources,Total Trans To General Fund,Other Financing Uses,Operating Surplus Deficit Including Transactions,Previous Year Operating Surplus Def Including Transactions,Operating Surplus Deficit Including Sources and Uses,Special Or Extraordinary Items,Large Deficit Indicator Entprise Fund,Large Deficit Indicator Internal Service Fund,Regional School District (RSD) Debt,Town Bonded Long Term Debt,Total Bonded Long-Term Debt,Net Pension Liability,Current Year Adjusted Taxes Collectible,Current Year Taxes Collected,Property Tax Collection Rate (current Year),Total Adjusted Taxes Collectible,Total Taxes Collected,Overall Tot Tax Colleton Rate,Population,Area Limit,Net Grand List,EGL,RPA Identifier,Deficit Bonds,10-Year Scheduled Repayment Principal Amount,Total Net OPEB Liability
2019,EAST HADDAM,64551151,17820367,82816699,1783548,0,0,0,175562,5154828,4979266,5154828,False,5639663,26126126,32763880,21483758,1932588,30981872,348316,348316,348316,2081583,48741,504773,48741,0,0,0,0,25295496,25295496,753929,25983687,25720236,0.9899,26275824,25947832,0.9875,8997,54.25,872252915,1246607350.0,Lower CT River Valley,False,0,1080733
2019,NEW LONDON,165499317,-64152950,103219867,-29744469,0,0,0,0,15079697,15079697,15079697,False,38140977,58072702,101303771,50333981,6719997,90706112,268300,268300,268300,8607990,2257969,4605241,2257969,0,0,-2420351,0,61100903,61100903,51981779,58584430,57446337,0.9806,59301891,58019559,0.9784,26858,5.62,1325382323,2045197010.0,Southeastern CT,False,0,25976135
2019,MONTVILLE,70938629,5540292,77466377,2850520,0,425762,264244,422515,11408182,10295661,10982420,False,21751432,41533232,66968216,43769717,4737003,66443865,0,875536,0,1522323,-997972,1195949,-122436,0,0,0,0,29157188,29157188,15314155,40671178,40007599,0.9837,42694257,40783490,0.9552,18508,41.95,1272082737,1937335767.0,Southeastern CT,False,0,1531662
2019,POMFRET,13163616,-3399220,10566246,-807332,0,0,201458,538083,2454641,1715100,2454641,False,4067521,9294093,13688560,11079128,409342,13237592,14923,14923,14923,362650,103241,780058,103241,0,0,0,0,3362000,3362000,0,9227052,9109908,0.9873,9354816,9192366,0.9826,4203,40.33,351630878,543867857.6,Northeast CT,False,0,6813524
2019,WINDSOR LOCKS,71308686,17111502,88424023,568703,0,0,0,172530,12470873,12298343,12470873,False,13311330,36061700,51094295,32486319,3191647,49857140,534882,534882,534882,1026092,745945,72431,745945,0,0,0,0,26515765,26515765,15076544,34435904,33714332,0.979,37061732,35316360,0.9529,12854,9.02,1283733731,2098683808.0,Capitol,False,0,0
2019,TOLLAND,73179715,22180817,95673595,3608772,0,0,696522,2030521,10877219,8150176,10877219,False,13349967,45048508,59610853,42635947,5227937,59494582,763601,763601,763601,733078,146794,706587,146794,0,0,0,0,43646503,43646503,0,44997408,44475818,0.9884,45615429,44827012,0.9827,14618,39.63,1278468008,1913454822.0,Capitol,False,0,2189121
2019,EASTON,68754458,8630319,77581860,1519973,0,0,0,2000000,9506363,7506363,9506363,False,1645208,40238605,43948933,28321385,3237672,44166740,0,0,0,234388,-452195,2275452,-452195,0,0,-714,5195389,15816000,21011389,5341541,40262550,39745301,0.9872,41545493,40003035,0.9629,7521,27.42,1283249209,1779672428.0,Greater Bridgeport,False,0,2323238
2019,SIMSBURY,97592854,12273505,109866359,-959999,35789,0,385000,228239,17109547,16460519,17073758,False,11751227,88687364,103313647,74482066,5438462,98572653,445063,1694841,445063,6120401,-934344,2579178,315434,0,0,0,0,35209077,35209077,19925597,88528111,88013699,0.9942,89432155,88514025,0.9897,25395,33.92,2416001289,3451701684.0,Capitol,False,0,6051733
2019,GUILFORD,64423195,-27886603,36536592,3891173,54445,300000,3631745,1367347,15843188,10489651,15488743,False,8629101,92636319,104635992,64924674,9426699,112056668,1000000,10549422,1000000,110000,-6530676,158646,3018746,0,0,0,0,113204573,113204573,14638356,92424421,92063137,0.9961,93044770,92423206,0.9933,22133,47.12,2971919199,4246530456.0,South Central,False,0,28187206
2019,LISBON,10510315,2289631,13748616,244694,0,42599,396358,133801,2098501,1525743,2055902,True,4458563,8591003,14522835,10700279,371670,13738376,0,0,0,178000,606459,860,606459,0,0,0,0,865000,865000,954953,8473572,8356161,0.9861,8621747,8447414,0.9798,4220,16.29,374277937,594207503.1,Southeastern CT,False,0,1693888
2019,DANBURY,215347579,-287417525,-69574374,6499087,1938365,0,0,14675831,41668118,25053922,39729753,False,41471339,215093015,269744036,145504881,24135529,264455376,0,1766866,0,6090054,-801394,4618249,965472,0,0,0,0,151129689,151129689,110062200,214622446,212213226,0.9888,221769676,214615935,0.9677,84694,41.89,7733743428,11055197340.0,Western CT,False,0,207890717
2019,WETHERSFIELD,116760649,-30072656,86687993,1480514,0,0,482836,512123,14067783,13072824,14067783,False,16431692,90686860,110153146,65191599,7815177,106285108,200000,200000,200000,2459352,1608686,344580,1608686,0,0,0,0,53769715,53769715,26663522,91500465,90728065,0.9916,93362027,91440617,0.9794,26008,12.31,2251449143,3379119934.0,Capitol,False,0,27216361
2019,SEYMOUR,54911714,-47055919,8261814,-9855313,0,0,0,578443,2834078,2255635,2834078,False,13217792,43850072,58848061,35906834,3451440,57932503,0,0,0,680389,235169,-4581400,235169,0,0,0,0,45401193,45401193,18391149,43749982,43092897,0.985,45116163,43745473,0.9696,16437,14.52,1206472165,1799436660.0,Naugatuck Valley,False,0,45403282
2019,SOUTHINGTON,168142000,-25058000,143709000,-10350000,27000,0,0,3113000,28458000,25318000,28431000,False,28297000,123664000,157602000,102563000,12282000,150512000,24000,24000,24000,3609000,3505000,1946000,3505000,0,0,0,0,109527000,109527000,51675000,123101000,121881000,0.9901,125029000,122885000,0.9829,43834,35.91,4008941035,6103583715.0,Capitol,False,0,41150000
