Coluna,Tipo
IN_VIVEIRO,Float
IN_DEPENDENCIAS_OUTRAS,Float
IN_ACESSIBILIDADE_CORRIMAO,Float
IN_ACESSIBILIDADE_ELEVADOR,Float
IN_ACESSIBILIDADE_PISOS_TATEIS,Float
IN_ACESSIBILIDADE_VAO_LIVRE,Float
IN_ACESSIBILIDADE_RAMPAS,Float
IN_ACESSIBILIDADE_SINAL_SONORO,Float
IN_ACESSIBILIDADE_SINAL_TATIL,Float
IN_ACESSIBILIDADE_SINAL_VISUAL,Float
IN_ACESSIBILIDADE_INEXISTENTE,Float
IN_ACESSIBILIDADE_SINALIZACAO,Float
QT_SALAS_UTILIZADAS_DENTRO,Float
QT_SALAS_UTILIZADAS_FORA,Float
QT_SALAS_UTILIZADAS,Float
QT_SALAS_UTILIZA_CLIMATIZADAS,Float
QT_SALAS_UTILIZADAS_ACESSIVEIS,Float
IN_EQUIP_PARABOLICA,Float
IN_COMPUTADOR,Float
IN_EQUIP_COPIADORA,Float
IN_EQUIP_IMPRESSORA,Float
IN_EQUIP_IMPRESSORA_MULT,Float
IN_EQUIP_SCANNER,Float
IN_EQUIP_NENHUM,Float
IN_EQUIP_DVD,Float
QT_EQUIP_DVD,Float
IN_EQUIP_SOM,Float
QT_EQUIP_SOM,Float
IN_EQUIP_TV,Float
QT_EQUIP_TV,Float
IN_EQUIP_LOUSA_DIGITAL,Float
QT_EQUIP_LOUSA_DIGITAL,Float
IN_EQUIP_MULTIMIDIA,Float
QT_EQUIP_MULTIMIDIA,Float
IN_DESKTOP_ALUNO,Float
QT_DESKTOP_ALUNO,Float
IN_COMP_PORTATIL_ALUNO,Float
QT_COMP_PORTATIL_ALUNO,Float
IN_TABLET_ALUNO,Float
QT_TABLET_ALUNO,Float
IN_INTERNET,Float
IN_INTERNET_ALUNOS,Float
IN_INTERNET_ADMINISTRATIVO,Float
IN_INTERNET_APRENDIZAGEM,Float
IN_INTERNET_COMUNIDADE,Float
IN_ACESSO_INTERNET_COMPUTADOR,Float
IN_ACES_INTERNET_DISP_PESSOAIS,Float
TP_REDE_LOCAL,Float
IN_BANDA_LARGA,Float
IN_PROF_ADMINISTRATIVOS,Float
QT_PROF_ADMINISTRATIVOS,Float
IN_PROF_SERVICOS_GERAIS,Float
QT_PROF_SERVICOS_GERAIS,Float
IN_PROF_BIBLIOTECARIO,Float
QT_PROF_BIBLIOTECARIO,Float
IN_PROF_SAUDE,Float
QT_PROF_SAUDE,Float
IN_PROF_COORDENADOR,Float
QT_PROF_COORDENADOR,Float
IN_PROF_FONAUDIOLOGO,Float
QT_PROF_FONAUDIOLOGO,Float
IN_PROF_NUTRICIONISTA,Float
QT_PROF_NUTRICIONISTA,Float
IN_PROF_PSICOLOGO,Float
QT_PROF_PSICOLOGO,Float
IN_PROF_ALIMENTACAO,Float
QT_PROF_ALIMENTACAO,Float
IN_PROF_PEDAGOGIA,Float
QT_PROF_PEDAGOGIA,Float
IN_PROF_SECRETARIO,Float
QT_PROF_SECRETARIO,Float
IN_PROF_SEGURANCA,Float
QT_PROF_SEGURANCA,Float
IN_PROF_MONITORES,Float
QT_PROF_MONITORES,Float
IN_PROF_GESTAO,Float
QT_PROF_GESTAO,Float
IN_PROF_ASSIST_SOCIAL,Float
QT_PROF_ASSIST_SOCIAL,Float
IN_PROF_TRAD_LIBRAS,Float
QT_PROF_TRAD_LIBRAS,Float
IN_PROF_AGRICOLA,Float
QT_PROF_AGRICOLA,Float
IN_PROF_REVISOR_BRAILLE,Float
QT_PROF_REVISOR_BRAILLE,Float
IN_ALIMENTACAO,Float
IN_MATERIAL_PED_MULTIMIDIA,Float
IN_MATERIAL_PED_INFANTIL,Float
IN_MATERIAL_PED_CIENTIFICO,Float
IN_MATERIAL_PED_DIFUSAO,Float
IN_MATERIAL_PED_MUSICAL,Float
IN_MATERIAL_PED_JOGOS,Float
IN_MATERIAL_PED_ARTISTICAS,Float
IN_MATERIAL_PED_PROFISSIONAL,Float
IN_MATERIAL_PED_DESPORTIVA,Float
IN_MATERIAL_PED_INDIGENA,Float
IN_MATERIAL_PED_ETNICO,Float
IN_MATERIAL_PED_CAMPO,Float
IN_MATERIAL_PED_BIL_SURDOS,Float
IN_MATERIAL_PED_AGRICOLA,Float
IN_MATERIAL_PED_QUILOMBOLA,Float
IN_MATERIAL_PED_EDU_ESP,Float
IN_MATERIAL_PED_NENHUM,Float
IN_EDUCACAO_INDIGENA,Float
TP_INDIGENA_LINGUA,Float
CO_LINGUA_INDIGENA_1,Float
CO_LINGUA_INDIGENA_2,Float
CO_LINGUA_INDIGENA_3,Float
IN_EXAME_SELECAO,Float
IN_RESERVA_PPI,Float
IN_RESERVA_RENDA,Float
IN_RESERVA_PUBLICA,Float
IN_RESERVA_PCD,Float
IN_RESERVA_OUTROS,Float
IN_RESERVA_NENHUMA,Float
IN_REDES_SOCIAIS,Float
IN_ESPACO_ATIVIDADE,Float
IN_ESPACO_EQUIPAMENTO,Float
IN_ORGAO_ASS_PAIS,Float
IN_ORGAO_ASS_PAIS_MESTRES,Float
IN_ORGAO_CONSELHO_ESCOLAR,Float
IN_ORGAO_GREMIO_ESTUDANTIL,Float
IN_ORGAO_OUTROS,Float
IN_ORGAO_NENHUM,Float
TP_PROPOSTA_PEDAGOGICA,Float
IN_EDUC_AMBIENTAL,Float
IN_EDUC_AMB_CONTEUDO,Float
IN_EDUC_AMB_CURRICULAR,Float
IN_EDUC_AMB_EIXO,Float
IN_EDUC_AMB_EVENTOS,Float
IN_EDUC_AMB_PROJETOS,Float
IN_EDUC_AMB_NENHUMA,Float
TP_AEE,Float
TP_ATIVIDADE_COMPLEMENTAR,Float
IN_MEDIACAO_PRESENCIAL,Float
IN_MEDIACAO_SEMIPRESENCIAL,Float
IN_MEDIACAO_EAD,Float
IN_REGULAR,Float
IN_DIURNO,Float
IN_NOTURNO,Float
IN_EAD,Float
IN_ESCOLARIZACAO,Float
IN_INF,Float
IN_INF_CRE,Float
IN_INF_PRE,Float
IN_FUND,Float
IN_FUND_AI,Float
IN_FUND_AF,Float
IN_MED,Float
IN_PROF,Float
IN_PROF_TEC,Float
IN_EJA,Float
IN_EJA_FUND,Float
IN_EJA_MED,Float
IN_ESP,Float
IN_ESP_CC,Float
IN_ESP_CE,Float
QT_MAT_BAS,Float
QT_MAT_INF,Float
QT_MAT_INF_CRE,Float
QT_MAT_INF_PRE,Float
QT_MAT_FUND,Float
QT_MAT_FUND_AI,Float
QT_MAT_FUND_AI_1,Float
QT_MAT_FUND_AI_2,Float
QT_MAT_FUND_AI_3,Float
QT_MAT_FUND_AI_4,Float
QT_MAT_FUND_AI_5,Float
QT_MAT_FUND_AF,Float
QT_MAT_FUND_AF_6,Float
QT_MAT_FUND_AF_7,Float
QT_MAT_FUND_AF_8,Float
QT_MAT_FUND_AF_9,Float
QT_MAT_MED,Float
QT_MAT_MED_PROP,Float
QT_MAT_MED_PROP_1,Float
QT_MAT_MED_PROP_2,Float
QT_MAT_MED_PROP_3,Float
QT_MAT_MED_PROP_4,Float
QT_MAT_MED_PROP_NS,Float
QT_MAT_MED_CT,Float
QT_MAT_MED_CT_1,Float
QT_MAT_MED_CT_2,Float
QT_MAT_MED_CT_3,Float
QT_MAT_MED_CT_4,Float
QT_MAT_MED_CT_NS,Float
QT_MAT_MED_NM,Float
QT_MAT_MED_NM_1,Float
QT_MAT_MED_NM_2,Float
QT_MAT_MED_NM_3,Float
QT_MAT_MED_NM_4,Float
QT_MAT_PROF,Float
QT_MAT_PROF_TEC,Float
QT_MAT_PROF_TEC_CONC,Float
QT_MAT_PROF_TEC_SUBS,Float
QT_MAT_PROF_FIC_CONC,Float
QT_MAT_EJA,Float
QT_MAT_EJA_FUND,Float
QT_MAT_EJA_FUND_AI,Float
QT_MAT_EJA_FUND_AF,Float
QT_MAT_EJA_FUND_FIC,Float
QT_MAT_EJA_MED,Float
QT_MAT_EJA_MED_NPROF,Float
QT_MAT_EJA_MED_FIC,Float
QT_MAT_EJA_MED_TEC,Float
QT_MAT_ESP,Float
QT_MAT_ESP_CC,Float
QT_MAT_ESP_CE,Float
QT_MAT_BAS_FEM,Float
QT_MAT_BAS_MASC,Float
QT_MAT_BAS_ND,Float
QT_MAT_BAS_BRANCA,Float
QT_MAT_BAS_PRETA,Float
QT_MAT_BAS_PARDA,Float
QT_MAT_BAS_AMARELA,Float
QT_MAT_BAS_INDIGENA,Float
QT_MAT_BAS_0_3,Float
QT_MAT_BAS_4_5,Float
QT_MAT_BAS_6_10,Float
QT_MAT_BAS_11_14,Float
QT_MAT_BAS_15_17,Float
QT_MAT_BAS_18_MAIS,Float
QT_MAT_BAS_D,Float
QT_MAT_BAS_N,Float
QT_MAT_BAS_EAD,Float
QT_MAT_INF_INT,Float
QT_MAT_INF_CRE_INT,Float
QT_MAT_INF_PRE_INT,Float
QT_MAT_FUND_INT,Float
QT_MAT_FUND_AI_INT,Float
QT_MAT_FUND_AF_INT,Float
QT_MAT_MED_INT,Float
QT_MAT_ZR_URB,Float
QT_MAT_ZR_RUR,Float
QT_MAT_ZR_NA,Float
QT_TRANSP_PUBLICO,Float
QT_TRANSP_RESP_EST,Float
QT_TRANSP_RESP_MUN,Float
QT_DOC_BAS,Float
QT_DOC_INF,Float
QT_DOC_INF_CRE,Float
QT_DOC_INF_PRE,Float
QT_DOC_FUND,Float
QT_DOC_FUND_AI,Float
QT_DOC_FUND_AF,Float
QT_DOC_MED,Float
QT_DOC_PROF,Float
QT_DOC_PROF_TEC,Float
QT_DOC_EJA,Float
QT_DOC_EJA_FUND,Float
QT_DOC_EJA_MED,Float
QT_DOC_ESP,Float
QT_DOC_ESP_CC,Float
QT_DOC_ESP_CE,Float
QT_TUR_BAS,Float
QT_TUR_INF,Float
QT_TUR_INF_CRE,Float
QT_TUR_INF_PRE,Float
QT_TUR_FUND,Float
QT_TUR_FUND_AI,Float
QT_TUR_FUND_AF,Float
QT_TUR_MED,Float
QT_TUR_PROF,Float
QT_TUR_PROF_TEC,Float
QT_TUR_EJA,Float
QT_TUR_EJA_FUND,Float
QT_TUR_EJA_MED,Float
QT_TUR_ESP,Float
QT_TUR_ESP_CC,Float
QT_TUR_ESP_CE,Float
QT_TUR_BAS_D,Float
QT_TUR_BAS_N,Float
QT_TUR_BAS_EAD,Float
QT_TUR_INF_INT,Float
QT_TUR_INF_CRE_INT,Float
QT_TUR_INF_PRE_INT,Float
QT_TUR_FUND_INT,Float
QT_TUR_FUND_AI_INT,Float
QT_TUR_FUND_AF_INT,Float
QT_TUR_MED_INT,Float
