Coluna,Tipo
IN_ACESSIBILIDADE_PISOS_TATEIS,Inteiro
IN_ACESSIBILIDADE_VAO_LIVRE,Inteiro
IN_ACESSIBILIDADE_RAMPAS,Inteiro
IN_ACESSIBILIDADE_SINAL_SONORO,Inteiro
IN_ACESSIBILIDADE_SINAL_TATIL,Inteiro
IN_ACESSIBILIDADE_SINAL_VISUAL,Inteiro
IN_ACESSIBILIDADE_INEXISTENTE,Inteiro
QT_SALAS_EXISTENTES,Inteiro
QT_SALAS_UTILIZADAS_DENTRO,Inteiro
QT_SALAS_UTILIZADAS_FORA,Inteiro
QT_SALAS_UTILIZADAS,Inteiro
QT_SALAS_UTILIZA_CLIMATIZADAS,Inteiro
QT_SALAS_UTILIZADAS_ACESSIVEIS,Inteiro
IN_EQUIP_PARABOLICA,Inteiro
IN_COMPUTADOR,Inteiro
IN_EQUIP_COPIADORA,Inteiro
IN_EQUIP_IMPRESSORA,Inteiro
IN_EQUIP_IMPRESSORA_MULT,Inteiro
IN_EQUIP_SCANNER,Inteiro
IN_EQUIP_NENHUM,Inteiro
IN_EQUIP_DVD,Inteiro
QT_EQUIP_DVD,Inteiro
IN_EQUIP_SOM,Inteiro
QT_EQUIP_SOM,Inteiro
IN_EQUIP_TV,Inteiro
QT_EQUIP_TV,Inteiro
IN_EQUIP_LOUSA_DIGITAL,Inteiro
QT_EQUIP_LOUSA_DIGITAL,Inteiro
IN_EQUIP_MULTIMIDIA,Inteiro
QT_EQUIP_MULTIMIDIA,Inteiro
IN_EQUIP_VIDEOCASSETE,Inteiro
IN_EQUIP_RETROPROJETOR,Inteiro
IN_EQUIP_FAX,Inteiro
IN_EQUIP_FOTO,Inteiro
QT_EQUIP_VIDEOCASSETE,Inteiro
QT_EQUIP_PARABOLICA,Inteiro
QT_EQUIP_COPIADORA,Inteiro
QT_EQUIP_RETROPROJETOR,Inteiro
QT_EQUIP_IMPRESSORA,Inteiro
QT_EQUIP_IMPRESSORA_MULT,Inteiro
QT_EQUIP_FAX,Inteiro
QT_EQUIP_FOTO,Inteiro
QT_COMP_ALUNO,Inteiro
IN_DESKTOP_ALUNO,Inteiro
QT_DESKTOP_ALUNO,Inteiro
IN_COMP_PORTATIL_ALUNO,Inteiro
QT_COMP_PORTATIL_ALUNO,Inteiro
IN_TABLET_ALUNO,Inteiro
QT_TABLET_ALUNO,Inteiro
QT_COMPUTADOR,Inteiro
QT_COMP_ADMINISTRATIVO,Inteiro
IN_INTERNET,Inteiro
IN_INTERNET_ALUNOS,Inteiro
IN_INTERNET_ADMINISTRATIVO,Inteiro
IN_INTERNET_APRENDIZAGEM,Inteiro
IN_INTERNET_COMUNIDADE,Inteiro
IN_ACESSO_INTERNET_COMPUTADOR,Inteiro
IN_ACES_INTERNET_DISP_PESSOAIS,Inteiro
TP_REDE_LOCAL,Inteiro
IN_BANDA_LARGA,Inteiro
QT_FUNCIONARIOS,Inteiro
IN_PROF_ADMINISTRATIVOS,Inteiro
QT_PROF_ADMINISTRATIVOS,Inteiro
IN_PROF_SERVICOS_GERAIS,Inteiro
QT_PROF_SERVICOS_GERAIS,Inteiro
IN_PROF_BIBLIOTECARIO,Inteiro
QT_PROF_BIBLIOTECARIO,Inteiro
IN_PROF_SAUDE,Inteiro
QT_PROF_SAUDE,Inteiro
IN_PROF_COORDENADOR,Inteiro
QT_PROF_COORDENADOR,Inteiro
IN_PROF_FONAUDIOLOGO,Inteiro
QT_PROF_FONAUDIOLOGO,Inteiro
IN_PROF_NUTRICIONISTA,Inteiro
QT_PROF_NUTRICIONISTA,Inteiro
IN_PROF_PSICOLOGO,Inteiro
QT_PROF_PSICOLOGO,Inteiro
IN_PROF_ALIMENTACAO,Inteiro
QT_PROF_ALIMENTACAO,Inteiro
IN_PROF_PEDAGOGIA,Inteiro
QT_PROF_PEDAGOGIA,Inteiro
IN_PROF_SECRETARIO,Inteiro
QT_PROF_SECRETARIO,Inteiro
IN_PROF_SEGURANCA,Inteiro
QT_PROF_SEGURANCA,Inteiro
IN_PROF_MONITORES,Inteiro
QT_PROF_MONITORES,Inteiro
IN_PROF_GESTAO,Inteiro
QT_PROF_GESTAO,Inteiro
IN_PROF_ASSIST_SOCIAL,Inteiro
QT_PROF_ASSIST_SOCIAL,Inteiro
IN_ALIMENTACAO,Inteiro
IN_SERIE_ANO,Inteiro
IN_PERIODOS_SEMESTRAIS,Inteiro
IN_FUNDAMENTAL_CICLOS,Inteiro
IN_GRUPOS_NAO_SERIADOS,Inteiro
IN_MODULOS,Inteiro
IN_FORMACAO_ALTERNANCIA,Inteiro
IN_MATERIAL_PED_MULTIMIDIA,Inteiro
IN_MATERIAL_PED_INFANTIL,Inteiro
IN_MATERIAL_PED_CIENTIFICO,Inteiro
IN_MATERIAL_PED_DIFUSAO,Inteiro
IN_MATERIAL_PED_MUSICAL,Inteiro
IN_MATERIAL_PED_JOGOS,Inteiro
IN_MATERIAL_PED_ARTISTICAS,Inteiro
IN_MATERIAL_PED_DESPORTIVA,Inteiro
IN_MATERIAL_PED_INDIGENA,Inteiro
IN_MATERIAL_PED_ETNICO,Inteiro
IN_MATERIAL_PED_CAMPO,Inteiro
IN_MATERIAL_PED_NENHUM,Inteiro
IN_MATERIAL_ESP_QUILOMBOLA,Inteiro
IN_MATERIAL_ESP_INDIGENA,Inteiro
IN_MATERIAL_ESP_NAO_UTILIZA,Inteiro
IN_EDUCACAO_INDIGENA,Inteiro
TP_INDIGENA_LINGUA,Inteiro
CO_LINGUA_INDIGENA_1,Inteiro
CO_LINGUA_INDIGENA_2,Inteiro
CO_LINGUA_INDIGENA_3,Inteiro
IN_BRASIL_ALFABETIZADO,Inteiro
IN_FINAL_SEMANA,Inteiro
IN_EXAME_SELECAO,Inteiro
IN_RESERVA_PPI,Inteiro
IN_RESERVA_RENDA,Inteiro
IN_RESERVA_PUBLICA,Inteiro
IN_RESERVA_PCD,Inteiro
IN_RESERVA_OUTROS,Inteiro
IN_RESERVA_NENHUMA,Inteiro
IN_REDES_SOCIAIS,Inteiro
IN_ESPACO_ATIVIDADE,Inteiro
IN_ESPACO_EQUIPAMENTO,Inteiro
IN_ORGAO_ASS_PAIS,Inteiro
IN_ORGAO_ASS_PAIS_MESTRES,Inteiro
IN_ORGAO_CONSELHO_ESCOLAR,Inteiro
IN_ORGAO_GREMIO_ESTUDANTIL,Inteiro
IN_ORGAO_OUTROS,Inteiro
IN_ORGAO_NENHUM,Inteiro
TP_PROPOSTA_PEDAGOGICA,Inteiro
TP_AEE,Inteiro
TP_ATIVIDADE_COMPLEMENTAR,Inteiro
IN_MEDIACAO_PRESENCIAL,Inteiro
IN_MEDIACAO_SEMIPRESENCIAL,Inteiro
IN_MEDIACAO_EAD,Inteiro
IN_REGULAR,Inteiro
IN_DIURNO,Inteiro
IN_NOTURNO,Inteiro
IN_EAD,Inteiro
IN_BAS,Inteiro
IN_INF,Inteiro
IN_INF_CRE,Inteiro
IN_INF_PRE,Inteiro
IN_FUND,Inteiro
IN_FUND_AI,Inteiro
IN_FUND_AF,Inteiro
IN_MED,Inteiro
IN_PROF,Inteiro
IN_PROF_TEC,Inteiro
IN_EJA,Inteiro
IN_EJA_FUND,Inteiro
IN_EJA_MED,Inteiro
IN_ESP,Inteiro
IN_ESP_CC,Inteiro
IN_ESP_CE,Inteiro
QT_MAT_BAS,Inteiro
QT_MAT_INF,Inteiro
QT_MAT_INF_CRE,Inteiro
QT_MAT_INF_PRE,Inteiro
QT_MAT_FUND,Inteiro
QT_MAT_FUND_AI,Inteiro
