Coluna,Tipo
MASCARA,Inteiro
ANO,Inteiro
ORDEMORGACAD,Inteiro
NOMEORGACAD,String
CATEGADM,String
COD_DEP,Inteiro
CATADM,String
CATADMPARTSE,String
CATADMCOMUN,String
CATADMCONFESS,String
CATADMFILANT,String
CODMUNIC,Inteiro
MUNICIPIO,String
EH_CAPITAL,String
COD_UF,Inteiro
NOMEUF,String
SIGLA,String
REGIAO,String
NUMERODEIES,Inteiro
I0311,Float
I0312,Float
I0313,Float
I0314,Float
I0321,Float
I0322,Float
I0323,Float
I0324,Float
I0331,Float
I0332,Float
I0333,Float
I0334,Float
I0341,Float
I0342,Float
I0343,Float
I0344,Float
I0351,Float
I0352,Float
I0353,Float
I0354,Float
I0361,Float
I0362,Float
I0363,Float
I0364,Float
I0371,Float
I0372,Float
I0373,Float
I0374,Float
I0411,Float
I0412,Float
I0413,Float
I0414,Float
I0421,Float
I0422,Float
I0423,Float
I0424,Float
I0431,Float
I0432,Float
I0433,Float
I0434,Float
I0441,Float
I0442,Float
I0443,Float
I0444,Float
I0451,Float
I0452,Float
I0453,Float
I0454,Float
I0461,Float
I0462,Float
I0463,Float
I0464,Float
I0471,Float
I0472,Float
I0473,Float
I0474,Float
I0511,Float
I0512,Float
I0513,Float
I0611,Float
I07101,Float
I07102,Float
I07103,Float
I07104,Float
I07105,Float
I07106,Float
I07107,Float
I07108,Float
I07201,Float
I07202,Float
I07203,Float
I07204,Float
I07205,Float
I07206,Float
I07207,Float
I07208,Float
I07301,Float
I07302,Float
I07303,Float
I07304,Float
I07305,Float
I07306,Float
I07307,Float
I07308,Float
I07401,Float
I07402,Float
I07403,Float
I07404,Float
I07405,Float
I07406,Float
I07407,Float
I07408,Float
I07501,Float
I07502,Float
I07503,Float
I07504,Float
I07505,Float
I07506,Float
I07507,Float
I07508,Float
I0811,Float
I0812,Float
I0822,Float
I0823,Float
I0832,Float
I0833,Float
I0841,Float
I0842,Float
I0843,Float
I0852,Float
I0853,Float
I0911,Float
I0912,Float
I0921,Float
I0922,Float
I0931,Float
I0932,Float
I0941,Float
I0942,Float
I0951,Float
I0952,Float
I1111,Float
I1112,Float
I1113,Float
I1114,Float
I1115,Float
I1116,Float
I1121,Float
I1122,Float
I1123,Float
I1124,Float
I1125,Float
I1126,Float
I1131,Float
I1132,Float
I1133,Float
I1134,Float
I1135,Float
I1136,Float
I1141,Float
I1142,Float
I1143,Float
I1144,Float
I1145,Float
I1146,Float
I1151,Float
I1152,Float
I1153,Float
I1154,Float
I1155,Float
I1156,Float
I1162,Float
I1163,Float
I1165,Float
I1166,Float
I1172,Float
I1173,Float
I1175,Float
I1176,Float
I1211,Float
I1221,Float
I1231,Float
I1241,Float
I1251,Float
I1261,Float
I1271,Float
I1281,Float
I13011,Float
I13021,Float
I13031,Float
I13041,Float
I13051,Float
I13061,Float
I13071,Float
I13081,Float
I13091,Float
I13101,Float
I13111,Float
I13121,Float
I13131,Float
I0111,Float
I0112,Float
I14011,Float
I14012,Float
I14013,Float
I14014,Float
I14015,Float
I14016,Float
I14017,Float
I14021,Float
I14022,Float
I14023,Float
I14024,Float
I14025,Float
I14026,Float
I14027,Float
I14031,Float
I14032,Float
I14033,Float
I14034,Float
I14035,Float
I14036,Float
I14037,Float
I14041,Float
I14042,Float
I14043,Float
I14044,Float
I14045,Float
I14046,Float
I14047,Float
I14051,Float
I14052,Float
I14053,Float
I14054,Float
I14055,Float
I14056,Float
I14057,Float
I14061,Float
I14062,Float
I14063,Float
I14064,Float
I14065,Float
I14066,Float
I14067,Float
I14071,Float
I14072,Float
I14073,Float
I14074,Float
I14075,Float
I14076,Float
I14077,Float
I14081,Float
I14082,Float
I14083,Float
I14084,Float
I14085,Float
I14086,Float
I14087,Float
I14091,Float
I14092,Float
I14093,Float
I14094,Float
I14095,Float
I14096,Float
I14097,Float
I14101,Float
I14102,Float
I14103,Float
I14104,Float
I14105,Float
I14106,Float
I14107,Float
I14111,Float
I14112,Float
I14113,Float
I14114,Float
I14115,Float
I14116,Float
I14117,Float
I14121,Float
I14122,Float
I14123,Float
I14124,Float
I14125,Float
I14126,Float
I14127,Float
I14131,Float
I14132,Float
I14133,Float
I14134,Float
I14135,Float
I14136,Float
I14137,Float
I14141,Float
I14142,Float
I14143,Float
I14144,Float
I14145,Float
I14146,Float
I14147,Float
I14151,Float
I14152,Float
I14153,Float
I14154,Float
I14155,Float
I14156,Float
I14157,Float
I14161,Float
I14162,Float
I14163,Float
I14164,Float
I14165,Float
I14166,Float
I14167,Float
I0211,Float
I0212,Float
I0213,Float
I0214,Float
I1511,String
I1521,String
I1531,String
I1541,String
I1551,String
I1561,String
I1571,String
I1581,String
I1611,Float
I1612,Float
I1613,Float
I1621,Float
I1622,Float
I1623,Float
I1631,Float
I1632,Float
I1633,Float
I1711,Float
I1712,Float
I1713,Float
I1811,Float
I1812,Float
I1813,Float
