Municipality,Initials,Fisc_Year_End,numbered,Comptroller Town Code,County_Identifier,Invested In Capital Assets Net of Related Debt,Unrestricted Net Assets,Total Net Assets,Change In Net Assets,Inter_Gov_Rev,Tax_Rev,Total_Revenue,Education,Debt_Service,Total_Expenditures,TOTAL_Trans_to_Genl_Fund,Other_Financing_Sources,TOTAL_Trans_from_Genl_Fund,Other_Financing_Uses,Operating_Surplus_(Deficit)_Including_Transfers,Prior_Yr_OP_Surplus_(Def)_including_sources_and_uses,Operating_Surplus_(Deficit)_Including_Sources_And_Uses,Special / Extraordinary Items,RSD_DEBT,TOWN_Bonded_Long_Term_Debt,Total_Bonded_Long_Term_Debt_(RSD_+_Town),Reserv_Fund_Bal,Design_Fund_Bal,Total_Fund_Bal,Restatement (Y or N),Unreserved_Fund_Bal,Deficit - Individual Enterprise Funds (Y or N),Deficit - Individual Internal Service Funds (Y or N),Curr_Year_Adjusted_Taxes_Collectible,Curr_Year_Taxes_Collected,Curr_Year_Tax_Collection_Rate,Total_Adjusted_Taxes_Collectible,Total_Taxes_Collected,Overal_Total_Tax_Collection_Rate,Population,Moody's_Bond_Ratings,area lmt,ACGLFY,EGL,TANF Recipients,empl,ACMR,enrollmt,RPA Identifier
ESSEX,VR,2008,50,50,M,13896369,3410796,17307165,2643811,2684878,17239184,21201837,14444605,781037,20610558,0,0,214498,214498,376781,570154.0,376781,0,7863007.54,11005631,18868638.54,433760.0,0.0,2964851,N,,N,N,17156725,16970572,0.989149852317386,17453833,17131317,0.981521766594192,,,10.36,,1842671127.49,,0.041415465268676,16.9,960.54,
NEW HARTFORD,BP,2010,93,92,L,10236647,1760535,12021662,-2579247,4526486,16857985,21731738,15906763,735821,21313898,81500,8981500,360500,5334422,138840,291514.0,4064918,0,3113773.53,14343000,17456773.53,3939455.0,675066.0,7459342,N,3519887.0,N,N,16700494,16447947,0.98487787247491,17102491,16676073,0.975066906920167,6994.0,Aa3,37.02,697343191.0,1007330607.14,8.0,0.080040271834886,23.9,1139.44,Litchfield Hills Cncl of Elected Ofcls
SHARON,JG,2010,126,125,L,4898825,2677742,7696737,110990,475829,8757057,9669326,6469252,305034,9444285,8776,8776,303163,303163,-69346,-405433.0,-69346,0,930307.49,1002945,1933252.49,63723.0,50000.0,1216041,N,1152318.0,N,N,8636870,8468615,0.980518984307973,9043222,8657952,0.957396821619551,2774.0,Aa2,58.7,837360422.0,1196530602.86,3.0,0.065459610027855,10.35,293.35,Northwestern CT COG
WESTBROOK,JG,2011,157,154,M,31186356,7734747,38955177,3319250,2550019,22869340,26604331,15326905,3634816,25649358,306387,11298556,580415,11494741,680945,-600295.0,758788,0,,24905000,24905000.0,,,3173381,Y,,N,N,22892909,22596679,0.987060185317646,23291310,22734744,0.976104134975663,6954.0,Aa2,15.72,1332533344.0,1873317800.73,14.0,0.07183316168898,17.25,965.39,Lower CT River Valley COG
HAMDEN,,2012,63,62,NH,122583892,-283066099,-159065037,-36202433,42518172,139969770,188285326,87773548,15140304,189196483,587527,15114141,0,13565557,-323630,,637427,0,,143213863,143213863.0,,,1194991,,,,,139022100,137428543,0.988537383624618,140986439,137730117,0.976903296351786,60863.0,A3,,4022975958.0,5754354481.43,455.0,0.08331788120403,34.7671,6769.66,
KILLINGWORTH,KE,2007,71,70,M,28143755,3665824,31809579,-298523,2545854,16157113,19578414,14853727,3659070,21773204,0,3300714,530125,530125,-2724915,-3246142.0,575799,0,11246327.31,3427999,14674326.31,0.0,821658.0,3509733,Y,3509733.0,N,N,16121697,16033316,0.994517884810762,16180475,16064831,0.992852867422001,6443.0,A1,35.32,578203893.0,1152086133.58,6.0,0.031476323119777,27.63,1150.73,CT River Estuary RPA
COVENTRY,JG,2010,32,32,T,94010187,12267159,106279815,718804,10890396,24691171,36136150,25029076,3086120,36418782,691036,11737605,162227,11073342,246177,166847.0,381631,0,,21291722,21291722.0,368090.0,0.0,3037517,N,2669427.0,N,N,24607427,24099128,0.97934367538711,25456967,24513875,0.962953481457551,12453.0,Aa3,37.72,858198386.0,1390215935.06,29.0,0.083115093039283,28.54,1987.86,Windham Region COG
OLD SAYBROOK,VR,2007,107,106,M,63055783,5785427,72350417,5736691,2222643,29322921,32998186,18625046,2943951,31959985,65755,65755,1024502,1024502,79454,916961.0,79454,0,,23705000,23705000.0,83171.0,0.0,3197013,Y,3113842.0,N,N,29199765,28998757,0.993116108982384,29515735,29081636,0.985292624425582,10539.0,Aa3,15.04,1902197575.0,3405122465.5,21.0,0.036360314270053,15.35,1583.5,CT River Estuary RPA
WATERBURY,JG,2009,152,151,NH,291451000,-183212000,116739000,-13470000,155571000,210092000,386163000,169099000,11582000,367926000,0,0,16171000,16171000,2066000,-860000.0,2066000,0,,89138000,89138000.0,0.0,3000000.0,21082000,N,,N,N,210000000,203816000,0.970552380952381,233154000,208305000,0.893422373195399,,,28.57,,7617694194.29,,0.134773073047361,39.9202,17735.58,
MANSFIELD,JG,2010,79,78,T,70198169,4314520,74845290,3714417,18543734,23989637,43388918,30342499,663947,41586927,2500,2500,1685010,1685010,119481,140394.0,119481,0,8110733.35,2151816,10262549.35,381593.0,0.0,2247488,Y,1865895.0,N,N,23909203,23519555,0.983703011764968,24467762,23760005,0.971073897154958,26685.0,Aa2,44.46,926340907.0,1457680568.43,35.0,0.074549581500922,25.71,1954.34,Windham Region COG
